#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Sprint,Description
54262,TYPO3.TYPO3CR,Bug,"",Resolved,Must have,Publishing nodes can lead to persistence exception,Christian Müller,"",2013-12-07 12:37,"","",2013-12-07,"","",100,2013-12-07 09:04,"","",1460000,"","","Moveing a node works for me, but while publishing, an exception is thrown and the change is not published.

ExtDirect error: Uncaught exception #0 - An exception occurred while executing 'INSERT INTO typo3_typo3cr_domain_model_nodedata (persistence_object_identifier, pathhash, path, parentpath, identifier, sortingindex, removed, hiddenbeforedatetime, hiddenafterdatetime, properties, nodetype, hidden, hiddeninindex, accessroles, workspace, contentobjectproxy) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)' with params [""92742fcb-86cd-537e-b4d5-e15fe61ce3fc"", ""e43f9052837a4c63b1b621350b2b550e"", ""\/sites\/neosdemotypo3org\/features\/test\/main"", ""\/sites\/neosdemotypo3org\/features\/test"", ""06f314c6-f12d-decc-cab0-570268831749"", 100, 0, null, null, ""a:0:{}"", ""TYPO3.Neos:ContentCollection"", 0, 0, ""a:0:{}"", ""live"", null]: SQLSTATE23000: Integrity constraint violation: 1062 Duplicate entry 'e43f9052837a4c63b1b621350b2b550e-live' for key 'UNIQ_60A956B92DBEC7578D940019'

But as i click the pulldown-menu right of the publish-button, i can go to the workspace-management. When i click there on ""Publish all changes"" the change is published as expected. But if i click here to publish the node itself, then the same exception is thrown.
Best Regards Renzo"
54253,TYPO3.TYPO3CR,Bug,"",Resolved,Should have,Moving nodes throws exception,Mathias Bolt Lesniak,Bastian Waidelich,2013-12-11 14:29,Node handling,"",2013-12-07,"","",100,2013-12-06 18:23,"","",1459600,"","","Hi!

I hope this is the right place to post this bug. I figure it's Node related, so it has to belong in TYPO3CR.

In Neos beta 2 I get an exception when trying to change the order of two nodes in the node tree using drag and drop.

Example:
Content Collection (main) has two nodes below it in the tree:

- Node A
- Node B

If I drag Node B to change the order of the nodes so Node B is before Node A, I get an exception:

<pre>
13-12-06 18:00:53  CRITICAL  Flow                 Uncaught exception #1301610453 in line 354 of Data/Temporary/Production/Cache/Code/Flow_Object_Classes/TYPO3_Flow_Mvc_Routing_UriBuilder.php: Could not resolve a route and its corresponding URI for the given parameters. This may be due to referring to a not existing package / controller / action while building a link or URI. Refer to log and check the backtrace for more details. - See also: 20131206180051e12226.txt
</pre>

 20131206180051e12226.txt:
<pre>
Uncaught exception #1301610453 in line 354 of Data/Temporary/Production/Cache/Code/Flow_Object_Classes/TYPO3_Flow_Mvc_Routing_UriBuilder.php: Could not resolve a route and its corresponding URI for the given parameters. This may be due to referring to a not existing package / controller / action while building a link or URI. Refer to log and check the backtrace for more details.

34 TYPO3\Flow\Mvc\Routing\Router_Original::resolve(array|5|)
33 TYPO3\Flow\Mvc\Routing\UriBuilder_Original::build(array|5|)
32 TYPO3\Flow\Mvc\Routing\UriBuilder_Original::uriFor(""show"", array|1|, ""Frontend\Node"", ""TYPO3.Neos"", NULL)
31 TYPO3\Flow\Mvc\Routing\UriBuilder::uriFor(""show"", array|1|, ""Frontend\Node"", ""TYPO3.Neos"", NULL)
30 call_user_func_array(array|2|, array|5|)
29 TYPO3\Flow\Mvc\Routing\UriBuilder::Flow_Aop_Proxy_invokeJoinPoint(TYPO3\Flow\Aop\JoinPoint)
28 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)
27 TYPO3\Neos\Aspects\PluginUriAspect_Original::rewritePluginViewUris(TYPO3\Flow\Aop\JoinPoint)
26 TYPO3\Flow\Aop\Advice\AroundAdvice::invoke(TYPO3\Flow\Aop\JoinPoint)
25 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)
24 TYPO3\Flow\Mvc\Routing\UriBuilder::uriFor(""show"", array|1|, ""Frontend\Node"", ""TYPO3.Neos"")
23 TYPO3\Neos\Service\ExtDirect\V1\Controller\NodeController_Original::moveAction(TYPO3\TYPO3CR\Domain\Model\Node, TYPO3\TYPO3CR\Domain\Model\Node, ""before"")
22 TYPO3\Neos\Service\ExtDirect\V1\Controller\NodeController::moveAction(TYPO3\TYPO3CR\Domain\Model\Node, TYPO3\TYPO3CR\Domain\Model\Node, ""before"")
21 call_user_func_array(array|2|, array|3|)
20 TYPO3\Neos\Service\ExtDirect\V1\Controller\NodeController::Flow_Aop_Proxy_invokeJoinPoint(TYPO3\Flow\Aop\JoinPoint)
19 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)
18 TYPO3\Flow\Security\Aspect\PolicyEnforcementAspect_Original::enforcePolicy(TYPO3\Flow\Aop\JoinPoint)
17 TYPO3\Flow\Aop\Advice\AroundAdvice::invoke(TYPO3\Flow\Aop\JoinPoint)
16 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)
15 TYPO3\Neos\Service\ExtDirect\V1\Controller\NodeController::moveAction(TYPO3\TYPO3CR\Domain\Model\Node, TYPO3\TYPO3CR\Domain\Model\Node, ""before"")
14 call_user_func_array(array|2|, array|3|)
13 TYPO3\Flow\Mvc\Controller\ActionController_Original::callActionMethod()
12 TYPO3\Flow\Mvc\Controller\ActionController_Original::processRequest(TYPO3\Flow\Mvc\ActionRequest, TYPO3\ExtJS\ExtDirect\TransactionResponse)
11 TYPO3\Flow\Mvc\Dispatcher_Original::dispatch(TYPO3\Flow\Mvc\ActionRequest, TYPO3\ExtJS\ExtDirect\TransactionResponse)
10 TYPO3\Flow\Mvc\Dispatcher::dispatch(TYPO3\Flow\Mvc\ActionRequest, TYPO3\ExtJS\ExtDirect\TransactionResponse)
9 call_user_func_array(array|2|, array|2|)
8 TYPO3\Flow\Mvc\Dispatcher::Flow_Aop_Proxy_invokeJoinPoint(TYPO3\Flow\Aop\JoinPoint)
7 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)
6 TYPO3\Flow\Security\Aspect\RequestDispatchingAspect_Original::blockIllegalRequestsAndForwardToAuthenticationEntryPoints(TYPO3\Flow\Aop\JoinPoint)
5 TYPO3\Flow\Aop\Advice\AroundAdvice::invoke(TYPO3\Flow\Aop\JoinPoint)
4 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)
3 TYPO3\Flow\Mvc\Dispatcher::dispatch(TYPO3\Flow\Mvc\ActionRequest, TYPO3\ExtJS\ExtDirect\TransactionResponse)
2 TYPO3\ExtJS\ExtDirect\RequestHandler::handleRequest()
1 TYPO3\Flow\Core\Bootstrap::run()
</pre>

Moving nodes from one Content Collection to another appears to work ok."
53607,TYPO3.TYPO3CR,Task,"",Resolved,Should have,Only persist recursive node changes once,Bastian Waidelich,Christian Müller,2013-12-09 07:35,Node handling,"",2013-11-13,"","",100,2013-11-13 08:20,"","",1427600,"","","https://review.typo3.org/#/c/25300/ fixed moving of nodes, but it leads to the situation that @NodeDataRepository::persistEntities()@ is called recursively for every child node of moved/renamed nodes.
This has a negative effect on performance and it could break the complete sub tree if errors happen during persistence.

One way to solve this would be to remove the persistEntities() call from Node::setPath() and call it after invoking that method from the move*() and setName methods."
53354,TYPO3.TYPO3CR,Task,"",Resolved,Should have,Make workspace name its identifier,Bastian Waidelich,Christian Müller,2013-12-04 12:43,"",1.0 beta 2,2013-11-05,"","",100,2013-11-05 10:10,"","",1415000,"","","The name property of the Workspace domain model is marked @Flow\Identity forcing it to be unique.
But the corresponding db table still contains a @persistence_object_identifier@ column.
Instead I'd suggest to add the @ORM\Id annotation turning the name to the workspace identifier.

This would require us to create a custom migration which is probably not so trivial as usual doctrine migrations.. But I think it would be worth it as this would bring some nice benefits:

* Better readability in the database (instead of ""d4564fa1-6e7e-ac9b-2f38-95dff812566e"" the workspace column of a nodedata record would contain ""live"" or ""user-admin"" etc)
* automatic property mapping: Even with https://review.typo3.org/#/c/25141/ we still use the ""workspace name"" in our javascript code. With this change ""workspaceName"" could be replaced with ""workspace"" there because a name would transparently be mapped to the corresponding instance in actions"
53335,TYPO3.TYPO3CR,Task,"",Resolved,Should have,Replace magic __call method in NodeType,Bastian Waidelich,Bastian Waidelich,2013-12-04 12:43,Nodetype support,1.0 beta 2,2013-11-05,"","",100,2013-11-05 05:02,"","",1414050,"","","Magic @__call()@ methods have a lot of drawbacks. We should replace
<pre>
$nodeType->getSomeFoo()
</pre>
with
<pre>
$nodeType->getConfiguration('someFoo');
</pre>"
52646,TYPO3.TYPO3CR,Bug,"",Resolved,Must have,Copying a node into itself causes an endless loop,Aske Ertmann,Aske Ertmann,2013-10-10 13:35,Node handling,1.0 alpha 6,2013-10-09,"","",100,2013-10-09 16:28,"","",1379800,"","",If a node is copied into itself the node gets copied recursively in an endless loop when trying to copy child nodes into the copied node
52498,TYPO3.TYPO3CR,Bug,"",Accepted,Should have,Pasting content into a collection keeps its original position,Tim Kandel,Tim Kandel,2013-10-03 09:51,"","",2013-10-03,"","",0,2013-10-03 06:02,"","",1372500,"","",If you copy some content and paste it into a collection it should actually be pasted at the beginning. Right now it is pasted at the same position it had before.
52130,TYPO3.TYPO3CR,Bug,"",Resolved,Must have,"Workspace->getRootNode() return NodeData, not Node(Interface)",Karsten Dambekalns,Karsten Dambekalns,2013-09-23 06:36,Node handling,1.0 alpha 6,2013-09-19,"","",100,2013-09-19 07:01,"","",1354300,"","",This exposes the internal NodeData instance and breaks the use of the returned node in anything that expects Node(Interface) via type hinting.
51032,TYPO3.TYPO3CR,Bug,"",Resolved,Must have,Node type filters do never match,Karsten Dambekalns,Karsten Dambekalns,2013-08-12 09:05,Migrations,"",2013-08-12,"","",100,2013-08-12 08:49,"","",1299800,"","",The introduction of NodeData broke node type filtering in TYPO3CR migrations.
50353,TYPO3.TYPO3CR,Bug,"",New,Should have,Node migration fails (probably) if access roles are set to Nodes,Adrian Föder,"",2013-07-24 03:11,"","",2013-07-24,"","",0,2013-07-24 03:11,"","",1266300,"","","When one of my nodes had an accessroles property set and I attempted to run (any) node migration, the following exception raised:

<pre>
Uncaught exception #1358513802 in line 1116 of \Data\Temporary\Development\Cache\Code\Flow_Object_Classes\TYPO3_Flow_Security_Context.php: The security Context cannot be initialized yet. Please check if it can be initialized with $securityContext->canBeInitialized() before trying to do so.

54 TYPO3\Flow\Security\Context_Original::initialize()
53 TYPO3\Flow\Security\Context::initialize()
52 call_user_func_array(array|2|, array|0|)
51 TYPO3\Flow\Security\Context::Flow_Aop_Proxy_invokeJoinPoint(TYPO3\Flow\Aop\JoinPoint)
50 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)
49 TYPO3\Flow\Session\Aspect\LazyLoadingAspect_Original::callMethodOnOriginalSessionObject(TYPO3\Flow\Aop\JoinPoint)
48 TYPO3\Flow\Aop\Advice\AroundAdvice::invoke(TYPO3\Flow\Aop\JoinPoint)
47 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)
46 TYPO3\Flow\Security\Context::initialize()
45 TYPO3\Flow\Security\Context_Original::getRoles()
44 TYPO3\Flow\Security\Context::getRoles()
43 call_user_func_array(array|2|, array|0|)
42 TYPO3\Flow\Security\Context::Flow_Aop_Proxy_invokeJoinPoint(TYPO3\Flow\Aop\JoinPoint)
41 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)
40 TYPO3\Flow\Session\Aspect\LazyLoadingAspect_Original::callMethodOnOriginalSessionObject(TYPO3\Flow\Aop\JoinPoint)
39 TYPO3\Flow\Aop\Advice\AroundAdvice::invoke(TYPO3\Flow\Aop\JoinPoint)
38 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)
37 TYPO3\Flow\Security\Context::getRoles()
36 TYPO3\Flow\Security\Context_Original::hasRole(""EDSH.EdshDe:Member"")
35 TYPO3\Flow\Security\Context::hasRole(""EDSH.EdshDe:Member"")
34 call_user_func_array(array|2|, array|1|)
33 TYPO3\Flow\Security\Context::Flow_Aop_Proxy_invokeJoinPoint(TYPO3\Flow\Aop\JoinPoint)
32 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)
31 TYPO3\Flow\Session\Aspect\LazyLoadingAspect_Original::callMethodOnOriginalSessionObject(TYPO3\Flow\Aop\JoinPoint)
30 TYPO3\Flow\Aop\Advice\AroundAdvice::invoke(TYPO3\Flow\Aop\JoinPoint)
29 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)
28 TYPO3\Flow\Security\Context::hasRole(""EDSH.EdshDe:Member"")
27 TYPO3\TYPO3CR\Domain\Model\NodeData_Original::isAccessible()
26 TYPO3\TYPO3CR\Domain\Model\Node_Original::isAccessible()
25 TYPO3\TYPO3CR\Domain\Factory\NodeFactory_Original::filterNodeByContext(TYPO3\TYPO3CR\Domain\Model\Node, TYPO3\Neos\Domain\Service\ContentContext)
24 TYPO3\TYPO3CR\Domain\Factory\NodeFactory_Original::createFromNode(TYPO3\TYPO3CR\Domain\Model\NodeData, TYPO3\Neos\Domain\Service\ContentContext)
23 TYPO3\TYPO3CR\Domain\Repository\NodeDataRepository_Original::findByParentAndNodeTypeInContext(""/sites/edshde/intern"", NULL, TYPO3\Neos\Domain\Service\ContentContext, NULL, NULL)
22 TYPO3\TYPO3CR\Domain\Model\Node_Original::getChildNodes()
21 TYPO3\TYPO3CR\Migration\Service\NodeMigration_Original::walkNodes(TYPO3\TYPO3CR\Domain\Model\Node, ""up"")
20 TYPO3\TYPO3CR\Migration\Service\NodeMigration_Original::walkNodes(TYPO3\TYPO3CR\Domain\Model\Node, ""up"")
19 TYPO3\TYPO3CR\Migration\Service\NodeMigration_Original::walkNodes(TYPO3\TYPO3CR\Domain\Model\Node, ""up"")
18 TYPO3\TYPO3CR\Migration\Service\NodeMigration_Original::walkNodes(TYPO3\TYPO3CR\Domain\Model\Node, ""up"")
17 TYPO3\TYPO3CR\Migration\Service\NodeMigration_Original::migrateUp()
16 TYPO3\TYPO3CR\Migration\Command\NodeCommandController_Original::migrateCommand(""live"", ""20120725073211"", TRUE, ""up"")
15 call_user_func_array(array|2|, array|4|)
14 TYPO3\Flow\Cli\CommandController_Original::callCommandMethod()
13 TYPO3\Flow\Cli\CommandController_Original::processRequest(TYPO3\Flow\Cli\Request, TYPO3\Flow\Cli\Response)
12 TYPO3\Flow\Mvc\Dispatcher_Original::dispatch(TYPO3\Flow\Cli\Request, TYPO3\Flow\Cli\Response)
11 TYPO3\Flow\Mvc\Dispatcher::dispatch(TYPO3\Flow\Cli\Request, TYPO3\Flow\Cli\Response)
10 call_user_func_array(array|2|, array|2|)
9 TYPO3\Flow\Mvc\Dispatcher::Flow_Aop_Proxy_invokeJoinPoint(TYPO3\Flow\Aop\JoinPoint)
8 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)
7 TYPO3\Flow\Security\Aspect\RequestDispatchingAspect_Original::blockIllegalRequestsAndForwardToAuthenticationEntryPoints(TYPO3\Flow\Aop\JoinPoint)
6 TYPO3\Flow\Aop\Advice\AroundAdvice::invoke(TYPO3\Flow\Aop\JoinPoint)
5 TYPO3\Flow\Aop\Advice\AdviceChain::proceed(TYPO3\Flow\Aop\JoinPoint)
4 TYPO3\Flow\Mvc\Dispatcher::dispatch(TYPO3\Flow\Cli\Request, TYPO3\Flow\Cli\Response)
3 TYPO3\Flow\Cli\CommandRequestHandler::handleRequest()
2 TYPO3\Flow\Core\Bootstrap::run()
1 require(""\Packages\Framework\TYPO3.Flow\Scripts\flow.php"")
</pre>

(temporarily) removing that property (setting it to @a:0:{}@ manually in typo3_typo3cr_domain_model_nodedata.accessroles, made the error disappear."
49970,TYPO3.TYPO3CR,Bug,"",New,Should have,Node migration throwing fatal error,Sagar Desai,"",2013-07-12 06:32,Nodetype support,"",2013-07-12,"","",0,2013-07-12 06:32,"","",1247500,"","","Uncaught Exception
  Catchable Fatal Error: Argument 1 passed to
  TYPO3\TYPO3CR\Migration\Service\NodeMigration_Original::walkNodes() must
  be an instance of TYPO3\TYPO3CR\Domain\Model\NodeInterface, instance of
  TYPO3\Flow\Persistence\Doctrine\Proxies\__CG__\TYPO3\TYPO3CR\Domain\Model\NodeData
  given, called in
  /var/www/Neos-Projects/Neos-Master/Data/Temporary/Development/Cache/Code/Flow_Object_Classes/TYPO3_TYPO3CR_Migration_Service_NodeMigration.php
  on line 85 and defined in
  /var/www/Neos-Projects/Neos-Master/Data/Temporary/Development/Cache/Code/Flow_Object_Classes/TYPO3_TYPO3CR_Migration_Service_NodeMigration.php
  line 106

More Information
  Exception code      #1
  File                /var/www/Neos-Projects/Neos-Master/Packages/Framework/TYPO3.Flow/Classes/TYPO3/Flow/Error/ErrorHandler.php line 77
  Exception reference #201307121523095ecc11"
48214,TYPO3.TYPO3CR,Bug,"",Resolved,Should have,Moving of nodes across levels should not show the same node twice,Sebastian Kurfuerst,Sebastian Kurfuerst,2013-09-30 15:36,"",1.0 beta 1,2013-05-15,"","",100,2013-05-15 06:10,"","",1160700,"","","If having a node structure in live workspace, and MOVING a node into another
parent node, this is copied into your personal workspace.

In neos, the moved node is then shown *twice*: First from the user workspace (correct), and from the live workspace (wrong!).

It only breaks for fetching *collections* of nodes, but that's what we do in Neos all the time."
47421,TYPO3.TYPO3CR,Bug,"",Resolved,Must have,Fresh user workspace doesn't get persisted,Adrian Föder,"",2013-04-28 11:25,"","",2013-04-22,"","",100,2013-04-22 02:50,"","",1121500,"","","If a user logs in who does not yet have a workspace, this one does not get persisted (probably due to the Safe request implementation)."
