#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,Spent time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Description
8644,Base Distribution,Story,"",Resolved,Should have,As Robin I want to have a Basic ManagementView (List),Daniel Poetzinger,"",2011-05-05 07:49,"","",2010-07-06,2010-07-07,"",0.00,0,2010-07-03 18:41,"","",2608400,0.00,"- click on management and a 2 column grid is shown:


--------------------------------------------------
 Pagetree   | tabbed panel (by object type)
            |    in the tabs: flat list of elements in this page



(no saving, editing yet)


"
8786,Base Distribution,Story,"",Closed,Should have,As Klaus I want to see all available contenttypes in order to add one to the current page,Daniel Poetzinger,"",2012-02-28 15:41,"",Sprint 7,"","","",0.00,100,2010-07-10 04:21,"","",1766050,0.00,"Includes
- Concept for configuring available CE Types for certain sites (pagetrees) - including preview icon
- Concept for permissions on CE Types
- Concept for Basis Set of CE"
8787,Base Distribution,Story,"",Closed,Should have,As  Klaus  I want to add new content elements to a website,Daniel Poetzinger,"",2011-09-20 11:54,"",Sprint 7,"","","",0.00,25,2010-07-10 04:21,"","",1766000,0.00,"Drag and Drop from the view area to the page
"
8788,Base Distribution,Story,"",Closed,Should have,As Magarethe I want to delete content elements on a website,Daniel Poetzinger,"",2011-11-07 04:48,"","","","","",0.00,100,2010-07-10 04:22,"","",2606850,0.00,Possible aloha tab?
8789,Base Distribution,Story,"",Closed,Must have,As Robin I want to add and configure a plugin on a page,Daniel Poetzinger,"",2011-09-20 11:54,"",Sprint 7,2010-07-10,"","",0.00,0,2010-07-10 04:23,"","",1765950,"","In Content View it should be possible to

* add a new content element of type Plugin
* basically configure the plugin's behavior / appearence"
8792,Base Distribution,Epic,"",New,Could have,EPIC: Speed and Contentcaching,Daniel Poetzinger,"",2012-08-31 05:07,"","",2010-07-10,"","",0.00,20,2010-07-10 06:04,"","",2607550,"","Integrate in Hudson a general jmeter performance graph

This can also include support vor Varnish"
8793,Base Distribution,Story,"",Resolved,Should have,Setup Git and Gerrit,Daniel Poetzinger,Karsten Dambekalns,2011-05-05 07:49,"","",2010-07-10,"","",0.00,100,2010-07-10 06:06,"","",2607950,"","- connection gerrit and redmine + authentification
- documentation for the usage "
8796,Base Distribution,Story,"",Closed,Could have,As Roger I want a flexible and powerful TCA Concept in order to define my objects,Daniel Poetzinger,"",2011-09-20 11:54,"","",2010-07-03,"","",0.00,100,2010-07-10 06:16,"","",2606800,0.00,"- documentation
- flexibility
- Domain driven design concepts"
8797,Base Distribution,Story,"",Resolved,Should have,"As a backend user, I want the new Visual Design implemented",Daniel Poetzinger,"",2011-05-05 07:49,"","",2010-10-16,2010-10-22,1.00,0.00,100,2010-07-10 06:18,"","",2608350,1.00,""
8798,Base Distribution,Story,"",On Hold,Should have,As Robin I want to edit basic objects in the management view.,Daniel Poetzinger,"",2013-04-10 14:53,"","",2010-07-10,"","",0.00,0,2010-07-10 06:19,"","",1765750,"",""
9473,Base Distribution,Story,"",Resolved,Should have,As Robin I want to use the content-repository to add contentelements and domain objects.,Daniel Poetzinger,Robert Lemke,2011-05-05 07:49,"","",2010-08-26,"","",0.00,0,2010-08-26 16:37,"","",2608050,"","Technical Issue that targets the required refactoring of the content-repository, in order to store contenttype-nodes together with domain-objects in the same structure.

Acceptance Criteria:

- Since the management view is also part of this sprint it should be possible to see the basic pagetree of the starterpackage: With pages and its structure + the contentelements in the pages + In a certain page ""Blog"" there should be some sample ""post"" domain records.

- Documentation:
1) The usage of the API (if useful together with a UML scetch showing how it works) should be available on the flow3 website
2) The definition of new contenttypes (How + Samples)
3) Optional: Kickstart TCA like concept for defining the editing behaviour of domain objects in the management view later


- Code-Coverage of persistence and contentrepository layer should be >80%"
9475,Base Distribution,Story,"",Resolved,Should have,As Robin I want to use a REST service to access the content repository,Daniel Poetzinger,Robert Lemke,2011-05-05 07:49,"","","","","",0.00,0,2010-08-26 16:42,"","",2608300,0.00,"Accessing the contentrepository should be possible through a REST service.

A nice acceptance criteria is a proof of concept access of the CR via the REST service through a mobile device. 


acceptance criteria:
- Documentation of the usage
- Sample Usage in TYPO3 5.0
- optional: Mobile device showcase"
10273,Base Distribution,Story,"",Resolved,Should have,"As Roger, I want to have Doctrine2 for persistence evaluated",Karsten Dambekalns,Karsten Dambekalns,2011-05-05 07:49,"","","","","",0.00,0,2010-10-15 08:45,"","",2608700,0.00,"* our DB structure would be compatible with other packages
* persistence is actually really usable afterwards :)
* they offered their help
* if Doctrine supports versioning, we should use it really soon"
10285,Base Distribution,Story,"",Resolved,Should have,"As Roger, I want clean and extensible JavaScript Code",Sebastian Kurfuerst,"",2011-05-05 07:49,"","",2010-10-07,2010-10-07,"",0.00,0,2010-10-16 04:23,"","",2608250,0.00,this includes also the Breadcrumb Menu
10367,Base Distribution,Story,"",Resolved,Should have,"As Roger, I want to have Guidelines for JavaScript and CSS Programming",Sebastian Kurfuerst,"",2011-05-05 07:49,"","",2010-10-06,"","",0.00,0,2010-10-21 04:30,"","",2608200,0.00,""
10368,Base Distribution,Story,"",Resolved,Should have,As Gerrit I want that editors don't edit content directly on the live website,Robert Lemke,"",2011-05-05 07:49,"","","","","",0.00,0,2010-10-21 04:36,"","",2608150,0.00,"Any user editing content should do so only in their personal workspace. After an editing session TYPO3 should give the opportunity to publish the new content to the live workspace.

* editing only affects the personal workspace of the logged in user
* on logout or closing the browser window, TYPO3 asks if workspace should be published
* publishing workspace overrides any other content of the live site (ie. no merge functionality yet)"
10373,Base Distribution,Story,"",Resolved,Should have,As Roger I want to have functional testing support in FLOW3,Robert Lemke,"",2011-05-05 07:49,"","","","","",0.00,14,2010-10-21 04:47,"","",2608100,0.00,""
10506,Base Distribution,Story,"",New,Must have,"Minimalistic Media Browser (Files, Images, Documents)",Daniel Poetzinger,Christian Müller,2013-01-30 08:29,Content Editing,1.0 beta 1,"","","",0.00,0,2010-10-28 08:40,"","",2607500,"",""
10508,Base Distribution,Epic,"",New,Must have,EPIC: Roles / Security for BE and FE / Usermanagement,Daniel Poetzinger,"",2013-01-30 08:43,"","","","","",0.00,0,2010-10-28 08:43,"","",1763100,0.00,"TODO!!!

* User Management for Frontend and Backend is the same.

DoD:

* Users are groupable into *Groups*
* Groups are assigned to roles

We start with the following roles:

* Admin
* Site Integrator
* Editor == Content Manager


Lateron, each module might define one or multiple roles."
10509,Base Distribution,Epic,"",New,Should have,EPIC: Workspaces and Publishing Workflows,Daniel Poetzinger,"",2012-08-31 05:07,"","","","","",0.00,0,2010-10-28 08:43,"","",2607450,"",""
10511,Base Distribution,Epic,"",Closed,Should have,EPIC: Timed Content,Daniel Poetzinger,"",2012-08-31 05:07,"","","","","",0.00,0,2010-10-28 08:45,"","",2607400,"",""
10513,Base Distribution,Epic,"",New,Won't have this time,EPIC: System-Monitoring / Maintenance,Daniel Poetzinger,"",2012-08-31 05:08,"","","","","",0.00,0,2010-10-28 08:47,"","",2607350,"",""
10514,Base Distribution,Epic,"",Closed,Should have,EPIC: Easy Layout Creatinon for Cornelius,Daniel Poetzinger,"",2012-08-31 05:08,"","","","","",0.00,0,2010-10-28 08:47,"","",2607300,"",""
10515,Base Distribution,Work Package,"",New,Must have,[WIP] Content Translation Support,Daniel Poetzinger,Karsten Dambekalns,2013-08-02 06:36,General / Project,1.1,"","","",0.00,0,2010-10-28 08:47,"","",2607250,"","h1. Content Translation Support

* Target Audience: *content editors* who want to deal with multi-lingual sites
* Responsible: Karsten Dambekalns
* Implemented by: Karsten Dambekalns, Christian Jul Jensen
* Amount: XY work days
* Version: *must have* for 1.1
* Planned Implementation Timeframe: X - Y

h2. Motivation

[TODO write goal from a user's perspective. Try to answer the question: ""Why is this work package important for the target group?""]

h2. Goal

[TODO what do you want to archieve? Try to answer the question: ""What do you want to archieve?""]

h2. Deliverables

[TODO: write bullet points for measurable deliverables; flag them as must have and can have]"
10620,Base Distribution,Story,"",Resolved,Should have,As Roger I want a reasonable test coverage of the TYPO3CR package,Robert Lemke,"",2011-05-05 07:49,"","","","","",0.00,0,2010-11-04 07:16,"","",2608650,0.00,""
10828,Base Distribution,Epic,"",Closed,Should have,EPIC: Deploymentsupport,Daniel Poetzinger,"",2012-08-31 05:08,"","","","","",0.00,0,2010-11-16 06:03,"","",2607150,"",""
11042,Base Distribution,Story,"",Closed,Should have,"As Roger, I want clean and extensible JavaScript Code",Robert Lemke,"",2011-09-20 11:54,"",Sprint 7,2010-11-16,"","",0.00,29,2010-11-24 06:31,"","",1765900,0.00,this includes also the Breadcrumb Menu
11044,Base Distribution,Story,"",Resolved,Should have,As  Magarethe I want to add  pages,Robert Lemke,"",2011-05-06 02:49,"",Sprint 7,2010-07-06,"","",0.00,0,2010-11-24 06:44,"","",1765850,0.00,"Click on ""add page""
  - slide down of page properties
  - Fields: title / navtitle / pathsegment
  - Part to select the position of the new page...  (it shows the siblings)

(creating childpages still needs to be planned)
"
11045,Base Distribution,Story,"",Resolved,Should have,As Robin I want to have a Basic ManagementView (List),Robert Lemke,"",2011-05-05 07:49,"","",2010-07-08,2010-07-08,"",0.00,17,2010-11-24 06:46,"","",2608600,0.00,"- click on management and a 2 column grid is shown:


--------------------------------------------------
 Pagetree   | tabbed panel (by object type)
            |    in the tabs: flat list of elements in this page



(no saving, editing yet)


"
11187,Base Distribution,Story,"",Resolved,Should have,"As a community member, I want a smooth demo site experience",Robert Lemke,"",2011-05-05 07:49,"","","","","",0.00,20,2010-11-30 13:26,"","",2608550,0.00,""
11946,Base Distribution,Story,"",Resolved,Should have,"As Roger, I want to have Doctrine implemented as Persistence backend",Sebastian Kurfuerst,"",2011-05-05 07:51,"","","","","",0.00,67,2011-01-06 08:07,"","",2608850,0.00,""
11968,Base Distribution,Story,"",Closed,Won't have this time,Ext JS 4.0 integration,Sebastian Kurfuerst,"",2012-02-28 15:52,"",Sprint 7,2011-05-03,"","",0.00,75,2011-01-06 08:29,"","",1766350,0.00,""
12443,Base Distribution,Epic,"",New,Should have,EPIC: performant Contenttargeting (personalisation),Daniel Poetzinger,"",2012-08-31 05:07,"","","","","",0.00,0,2011-01-21 09:55,"","",2607200,"",""
13527,Base Distribution,Feature,"",Resolved,Should have,Simple backend usermanagement,Rens Admiraal,"",2012-01-31 01:47,"","","","","",0.00,100,2011-03-02 10:11,"","",2607050,"",""
13528,Base Distribution,Story,"",Closed,Should have,Improve editing of content elements,Rens Admiraal,"",2011-11-07 04:48,"","","","","",0.00,100,2011-03-02 10:11,"","",2606750,0.00,""
13532,Base Distribution,Story,"",New,Must have,Implement File Download Content Type,Rens Admiraal,Christian Müller,2013-01-30 10:06,Content Editing,1.0 beta 1,"","","",0.00,0,2011-03-02 10:14,"","",1760800,"","DoD:

* download a single file"
13534,Base Distribution,Feature,"",Resolved,Must have,"Links in continuous texts and a separate ""link"" field",Rens Admiraal,Sebastian Kurfuerst,2012-08-28 05:41,"","","","","",0.00,100,2011-03-02 10:14,"","",2608800,"",Linking to external and internal URLs must be supported in Aloha.
31638,Base Distribution,Feature,"",Resolved,Must have,Rewrite Rendering Process based on Fluid and TypoScript,Sebastian Kurfuerst,"",2012-08-28 05:41,"","",2011-11-07,"","",0.00,100,2011-11-07 04:12,"","",350950,"","The rendering process based on TypoScript and Fluid needs to be rewritten.

h1. Current Rendering Process

Currently, *both* TypoScript and Fluid are involved in rendering. TypoScript controls the rendering while Fluid is just used to render the individual parts. Thus, TypoScript renders the content. The process is as follows:

# @TYPO3\TYPO3\Controller\Frontend\NodeController::show@ gets a node passed, and triggers @render@ on the view
# @TYPO3\TYPO3\View\TypoScriptView@ picks up:
## it asks the TyposcriptObjectFactory to get a typoscript object name based on the current node type.
## then it checks if the current TypoScript tree has a *top-level object* for the which matches the expected TypoScript object name
## if yes, this is used. If no, we instanciate a default one.
# TypoScript @Page@ object renders a @Template@ TypoScript object
## For that, it assigns the @presentationPropertyNames@ to the template, after wrapping them into a proxy object which evaluate *TS Processors*
## then, the @Node@ object is assigned to the template
## Then, the template is rendered (see below), and the result is possibly wrapped again.
# @TYPO3\TYPO3\TypoScript\Template@ is a Fluid TemplateView and renders the template.
## Especially important is the @\TYPO3\TYPO3\TypoScript\Section@ (inheriting from @TYPO3\TYPO3\TypoScript\ContentArray@ and @\TYPO3\TypoScript\AbstractContentArrayObject@), which creates TypoScript sub-objects for *every* sub node, by asking the @\TYPO3\TypoScript\ObjectFactory@ again. This is how recursion is handled.

h2. Drawbacks of the current rendering process

* very complex
* TypoScriptView is quite inflexible
* recursive rendering creates very many objects, but is not really extensible.

h1. Requirements for revamped rendering

* Nodes can appear multiple times on a page. The rendering must be able to distinguish between these cases.
* When rendering a nodePath, we need to be able to render it completely out-of-context. I.e. render just a single content element being part of a bigger page. This could look somehow like: .../somePage/someSection/text?typoscriptObjectPath=page.sections.someSection.text
** This is needed for Varnish, ESI, etc.
** Thus, the question is *how to address nodes and their rendering information without ambiguity*
* Make Fluid replaceable by other rendering system?? TODO
* TODO: TypoScript objects should be ONLY allowed on FOLDER nodes.
* Bonus: wouldn't it be cool to use TypoScript in combination with Fluid *outside* of Phoenix as well?

h1. Pros and Cons

* *Fluid Template*
** + easy to understand, easy to write
** - only replaceable in an all-or-nothing manner
** - not context dependent; so it is hard to implement things like ""in the right column, all images should be 500 px wide maximum""
* *TypoScript*: 
** + adjustable and overridable on a very fine-grained level through use of TypoScript paths
** + processors are a powerful way to fine-tune rendering.
** + presentationModel enables creating ""virtual nodes"" which are declared just through TypoScript.
** - hard to write
** - presentationModel is hard to grasp and adds a lot of boilerplate code

h1. New Rendering Process

* *central problem: Adressing.* How do we address stuff like ""render node X in context Y""? Y must be identified by a path.
* *central problem: collections.* How do we render a *collection of nodes*? Through an <f:for> loop? Or differently?

* TODO: continue here..."
32034,Base Distribution,Story,"",Resolved,Should have,As a content editor I'd like to see the sub pages of my current page,Sebastian Kurfuerst,Markus Goldbeck,2012-09-04 16:35,"","",2011-11-23,"","",0.00,100,2011-11-23 08:26,"","",2952300,"","DoD:

* on opening, the page tree should have the current page selected
* the sub pages of the current page must be visible (expanded) already
* path to current page (parent nodes) is visible in page tree"
32772,Base Distribution,Feature,"",Resolved,Should have,Create localStorage API,Rens Admiraal,Rens Admiraal,2011-12-23 11:33,"","",2011-12-22,"","",0.00,100,2011-12-22 03:01,"","",406850,"",localStorage only supports storage of string values. This becomes an issue when we have complex fields storing arrays and objects. All those fields have to stringify / decode values themselves. We can work around this with a layer above the localStorage automatically converting the values.
32833,Base Distribution,Feature,"",Resolved,Should have,Update Aloha to most recent Development Version -- with refactored Aloha Blocks,Sebastian Kurfuerst,Sebastian Kurfuerst,2012-01-07 02:14,"","",2011-12-25,"","",0.00,100,2011-12-25 13:18,"","",408900,"","Aloha Blocks have been greatly reworked by me; with lots of performance improvements and bugfixes along the road.

A short overview of the changes can be found at: https://github.com/alohaeditor/Aloha-Editor/pull/366/

However, there are quite some architectural changes in Aloha, which means we need to adjust some parts:

* Loading Order has changed; require.js is now embedded in aloha.js
* jQuery is now available under Aloha.jQuery; not under window.alohaQuery
* Block API has changed; block internals have changes
* numerous bugfixes"
40293,Base Distribution,Epic,"",Closed,Should have,EPIC: Workspace Publication,Robert Lemke,"",2012-08-31 05:07,"","","","","",0.00,0,2012-08-28 05:36,"","",1763050,"",was: PHX-9
40294,Base Distribution,Epic,"",New,Should have,"EPIC: Inline Editing Support (Links, Content Types, Plugin)",Robert Lemke,"",2012-08-31 05:07,"","","","","",0.00,0,2012-08-28 05:44,"","",1763000,"",""
40295,Base Distribution,Epic,"",Resolved,Should have,EPIC: TypoScript Rendering,Robert Lemke,"",2013-01-29 10:00,"","","","","",0.00,0,2012-08-28 05:44,"","",1762950,"",""
40296,Base Distribution,Epic,"",Resolved,Should have,EPIC: Plugin Support,Robert Lemke,"",2014-02-09 10:58,"","","","","",0.00,100,2012-08-28 05:45,"","",1762900,"",""
40297,Base Distribution,Epic,"",New,Must have,EPIC: Basic Page Tree Operations,Robert Lemke,"",2013-12-04 13:54,"","","","","",0.00,0,2012-08-28 05:45,"","",1762850,0.00,""
40298,Base Distribution,Epic,"",New,Should have,EPIC: Design / Icons,Robert Lemke,"",2012-08-31 05:07,"","","","","",0.00,0,2012-08-28 05:45,"","",1762800,"",""
40299,Base Distribution,Epic,"",New,Must have,EPIC: Content Security (Workspaces),Robert Lemke,"",2012-09-07 04:11,"","","","","",0.00,0,2012-08-28 05:45,"","",1762750,0.00,""
40300,Base Distribution,Epic,"",New,Should have,EPIC: Consistent UI Design (Bootstrap),Robert Lemke,"",2012-08-31 05:07,"","","","","",0.00,0,2012-08-28 05:46,"","",1762700,"",""
40301,Base Distribution,Epic,"",New,Should have,EPIC: System Log Viewer / Audit,Robert Lemke,"",2012-08-31 05:07,"","","","","",0.00,0,2012-08-28 05:46,"","",1762650,"",""
40302,Base Distribution,Epic,"",New,Should have,EPIC: Account Profile,Robert Lemke,"",2012-08-31 05:07,"","","","","",0.00,0,2012-08-28 05:46,"","",1762600,"",""
40305,Base Distribution,Story,"",Resolved,Should have,As a Content Editor I want to easily distinguish place holder texts in new content elements from actual content; placeholder text should disappear once I start to type.,Robert Lemke,Aske Ertmann,2014-06-16 09:37,Content Editing,1.1,"","","",0.00,100,2012-08-28 05:48,"","",1762400,"",""
40306,Base Distribution,Epic,"",New,Should have,EPIC: Content import from TYPO3,Robert Lemke,"",2012-08-31 05:07,"","","","","",0.00,0,2012-08-28 05:48,"","",1762350,"",""
40307,Base Distribution,Epic,"",New,Should have,EPIC: Custom View for Data Types,Robert Lemke,"",2012-08-31 05:07,"","","","","",0.00,0,2012-08-28 05:49,"","",1762300,"","For example: Business Card, Customer, Blog Post ?

Based on Fluid templates."
40308,Base Distribution,Epic,"",New,Should have,EPIC: In-table editing for items in the Management View,Robert Lemke,"",2012-08-31 05:07,"","","","","",0.00,0,2012-08-28 05:51,"","",1762250,"",""
40309,Base Distribution,Story,"",New,Should have,As a system administrator I want to see a meaningful error message if the database has not been set up correctly,Robert Lemke,"",2012-08-28 05:51,"","","","","",0.00,0,2012-08-28 05:51,"","",1762150,"",""
40310,Base Distribution,Story,"",Postponed,Should have,"As any User, if no site exists I want to be redirected to the Setup wizard",Robert Lemke,"",2012-09-18 02:55,"","","","","",0.00,0,2012-08-28 05:52,"","",1762450,"","- triggered by frontend request 
- triggered by backend request 
- redirects to respective step (""site setup"") of the Setup Wizard 
- provide simple (empty) site preset to be imported 
"
40311,Base Distribution,Story,"",New,Should have,As a user I want the UI to respect the lights-off principle,Robert Lemke,"",2013-01-29 08:18,"","","","","",0.00,0,2012-08-28 05:53,"","",1761100,0.00,"- reverse fading
- accelerate fading
- define and document color code for active and inactive
- define and document fading speed

Some buttons are fading from light to dark on mouse over, the contrary should happen though.
The animation should also be faster, about 0.5 seconds"
40312,Base Distribution,Story,"",Rejected,Should have,As a content editor I'd like to see the Publish button only if I can use it,Robert Lemke,"",2012-09-07 03:40,"",Sprint 10 (1.0 TP1),"","","",0.00,0,2012-08-28 05:55,"","",1759950,"","- hide button if no changes are pending
- show button if changes are pending
- relabel the button to ""Publish""

The ""Publish Page"" button is visible (but deactivated) even if nothing is to be published. It should only be visible if there are pending changes.
Later on, the Publish button should lead to a dedicated screen for reviewing changes if there are changes from more than one page pending. This story doesn't cover that functionality, but as it is planned, the label of the button should already be changed to just ""Publish"".
"
40313,Base Distribution,Story,"",Needs Feedback,Should have,As a Site Developer I can define the title and package key for a site,Robert Lemke,"",2013-05-11 12:55,"","","","","",0.00,0,2012-08-28 05:57,"","",1762100,"",""
40314,Base Distribution,Story,"",Closed,Should have,As a Content Editor I want to use headlines just in my regular text elements,Robert Lemke,"",2012-10-04 10:02,"",Sprint 10 (1.0 TP1),"","","",0.00,0,2012-08-28 05:57,"","",1759650,"","- remove dedicated ""headline"" field in all elements
- allow headline in text element
"
40315,Base Distribution,Story,"",Closed,Should have,Explore: As a Content Editor I want to use different content types for different purposes,Robert Lemke,"",2012-09-04 08:53,"","","","","",0.00,0,2012-08-28 05:58,"","",1762050,"","- a list of content types which should be available by default
- a thorough description of why each type is needed
- a list of properties and description for each type
"
40316,Base Distribution,Story,"",Postponed,Must have,"As a content editor, I don't want anybody else to see the content of my personal workspace ",Robert Lemke,Andreas Förthner,2012-09-18 02:56,Administration,"","","","",0.00,0,2012-08-28 05:59,"","",1762550,"","- only live workspace is visible without login
- personal workspace only visible for respective user"
40319,Base Distribution,Story,"",Closed,Should have,As a Content Editor I'd like to see at one glance if I can edit an element inline or not while hovering over it with the mouse,Robert Lemke,"",2012-10-04 10:02,"",Sprint 10 (1.0 TP1),"","","",0.00,0,2012-08-28 06:04,"","",1759700,"",""
40320,Base Distribution,Epic,"",New,Should have,EPIC: User Interface style and implementation guide,Robert Lemke,"",2012-08-31 05:07,"","","","","",0.00,0,2012-08-28 06:04,"","",1762000,"",""
40321,Base Distribution,Story,"",Closed,Should have,As a System Administrator I want to read step-by-step instructions for setting up a basic Phoenix installation. ,Robert Lemke,"",2012-10-04 10:03,"",Sprint 10 (1.0 TP1),"","","",0.00,0,2012-08-28 06:05,"","",1759900,"",- manual rendered on *.typo3.org
40322,Base Distribution,Story,"",New,Should have,As a site integrator I can disable and enable imported sites,Robert Lemke,"",2012-08-28 06:06,"","","","","",0.00,0,2012-08-28 06:06,"","",1761950,"",""
40323,Base Distribution,Story,"",New,Should have,As an site integrator I can remove an inactive imported site,Robert Lemke,"",2012-08-28 06:07,"","","","","",0.00,0,2012-08-28 06:07,"","",1761900,"","- possible through the sites modules 
- only possible if the site is inactive 
- should remove all content related to the sites node 
- should remove all domains tied to the site"
40324,Base Distribution,Story,"",New,Should have,"As a site integrator I can change the title, description & version of an imported site",Robert Lemke,"",2012-08-28 06:07,"","","","","",0.00,0,2012-08-28 06:07,"","",1761850,"",""
40325,Base Distribution,Story,"",Resolved,Should have,"As a site integrator I can create, modify & delete domains of an imported site",Robert Lemke,Mattias Nilsson,2013-01-30 16:37,"","","","","",0.00,100,2012-08-28 06:08,"","",1761800,"","- possible through the sites modules 
- domains are tied to the site 
- domains can be activated/inactivated"
40326,Base Distribution,Story,"",New,Should have,As an administrator I can create a new site package using an existing site as template,Robert Lemke,"",2012-08-28 06:11,"","","","","",0.00,0,2012-08-28 06:10,"","",1761750,"","- possible through the sites modules 
- site label & package key is configurable 
- should be able to use existing site packages as templates"
