#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,Spent time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Description
44924,Base Distribution,Task,Story #44919: Use Expose for listing BlogPost-Nodes in Frontend,Accepted,Should have,Change the Post List view to use Expose,Marc Neuhaus,Marc Neuhaus,2013-01-29 10:28,"",Sprint February 2013,"","","",0.00,0,2013-01-29 10:23,"","",999400,"",""
44925,Base Distribution,Task,Story #44919: Use Expose for listing BlogPost-Nodes in Frontend,New,Should have,Change the styling of Blog Posts with Expose to match the current styling,Marc Neuhaus,Marc Neuhaus,2013-01-29 10:24,"",Sprint February 2013,"","","",0.00,0,2013-01-29 10:24,"","",999450,"",""
44926,Base Distribution,Task,Story #44912: Exploration: Accessible Neos Content Editing Module,Accepted,Must have,Define roles for navigational landmarks,Patrick Broens,Patrick Broens,2013-01-29 10:47,"",Sprint February 2013,2013-01-29,"","",0.00,70,2013-01-29 10:33,"","",999500,"","Landmarks are a vast improvement over the rudimentary ?skip to main content? technique employed prior to WAI-ARIA. The presence of common, semantic, navigation landmarks allows assistive technology to provide a consistent navigation experience."
44927,Base Distribution,Task,Story #44912: Exploration: Accessible Neos Content Editing Module,Accepted,Must have,Define roles for document structure,Patrick Broens,Patrick Broens,2013-01-29 10:48,"",Sprint February 2013,2013-01-29,"","",0.00,70,2013-01-29 10:35,"","",999550,"",These roles describe structures that organize content. Document structures are not usually interactive.
44928,Base Distribution,Task,Story #44921: Decide TypoScript and TYPO3CR Naming,Resolved,Should have,Decide on TYPO3CR node type names,Sebastian Kurfuerst,Sebastian Kurfuerst,2013-01-29 11:59,Content Repository,Sprint February 2013,"","",0.00,0.00,0,2013-01-29 10:42,"","",999600,0.00,""
44929,Base Distribution,Task,Story #44912: Exploration: Accessible Neos Content Editing Module,Accepted,Must have,Define roles for widgets,Patrick Broens,Patrick Broens,2013-01-29 10:48,"",Sprint February 2013,2013-01-29,"","",0.00,70,2013-01-29 10:43,"","",999650,"",Some roles act as standalone user interface widgets. It should be investigated which parts can be marked with a widget role
44930,Base Distribution,Task,Story #44912: Exploration: Accessible Neos Content Editing Module,Accepted,Must have,Check if parts marked as widget need HTML markup changes,Patrick Broens,Patrick Broens,2013-01-29 10:48,"",Sprint February 2013,2013-01-29,"","",0.00,40,2013-01-29 10:46,"","",999700,"",For WAI-ARIA some attributes need to be added or changed to have proper functonality as a widget
44932,Base Distribution,Story,"",Needs Feedback,Should have,Update TYPO3CR Node Type Names according to concept,Sebastian Kurfuerst,"",2013-05-11 13:37,"",Sprint February 2013,"","","",0.00,0,2013-01-29 11:58,"","",1757800,"","* Update node types themselves
* update ""contentType"" in PHP --> change to ""nodeType"""
44933,Base Distribution,Story,"",Resolved,Should have,Extract TYPO3CR node type definitions into NodeTypes.yaml,Sebastian Kurfuerst,Karsten Dambekalns,2013-05-23 17:01,Content Repository,Sprint February 2013,"","","",0.00,100,2013-01-29 12:01,"","",1757750,"",""
44934,Base Distribution,Task,Story #44920: Keyboard shortcuts for content editing,Under Review,Should have,Add cut / delete / copy / paste actions,Rens Admiraal,Rens Admiraal,2013-01-31 08:56,"",Sprint February 2013,"","","",0.00,0,2013-01-29 12:11,"","",999800,"",""
44935,Base Distribution,Task,Story #44920: Keyboard shortcuts for content editing,Under Review,Should have,Add keystroke for new content element after,Rens Admiraal,Rens Admiraal,2013-01-31 08:58,"",Sprint February 2013,"","","",0.00,0,2013-01-29 12:16,"","",999850,"",""
44950,Base Distribution,Story,"",Resolved,Should have,As a Integrator I want to add RSS rendering in TypoScript,Christian Müller,Christian Müller,2013-05-11 15:11,"",Sprint February 2013,2013-01-30,"","",0.00,100,2013-01-30 03:39,"","",2954900,0.00,something comparable to typeNum in TYPO3 CMS.
44954,Base Distribution,Task,Story #40599: Include arbitrary Flow-Applications as Plugins,Resolved,Should have,Provide a way to render PluginViews and PluginConfigurations in the Sidebar,Marc Neuhaus,Marc Neuhaus,2013-10-08 04:46,"",Sprint February 2013,"","","",0.00,100,2013-01-30 04:14,"","",1000750,"",""
44955,Base Distribution,Task,Story #44921: Decide TypoScript and TYPO3CR Naming,Resolved,Should have,decide Node Type Definition naming,Sebastian Kurfuerst,Sebastian Kurfuerst,2013-01-30 10:37,"",Sprint February 2013,"","","",0.00,0,2013-01-30 04:18,"","",1000800,"",""
44957,Base Distribution,Story,"",New,Should have,Reliable clipboard and content element handles,Christopher Hlubek,"",2013-07-01 12:51,"",Sprint February 2013,2013-05-15,"","",0.00,100,2013-01-30 04:27,"","",1757700,0.00,""
44958,Base Distribution,Task,Story #44950: As a Integrator I want to add RSS rendering in TypoScript,Resolved,Should have,Add request to TypoScript context,Christian Müller,Christian Müller,2013-01-30 19:36,"",Sprint February 2013,"","","",0.00,100,2013-01-30 05:07,"","",1000850,"",""
44969,Base Distribution,Story,"",New,Should have,Document Two-Tree Localization Approach,Sebastian Kurfuerst,"",2013-03-28 07:24,Documentation,1.0 beta 1,"","","",0.00,0,2013-01-30 08:24,"","",1757500,"",""
44970,Base Distribution,Story,"",New,Must have,Define Neos 1.0 API,Sebastian Kurfuerst,Robert Lemke,2013-01-30 10:06,Documentation,1.0 beta 1,2013-01-30,"","",0.00,0,2013-01-30 08:59,"","",1757300,"","As Integrator, I want a defined API - so I want to know which parts of Neos I can use safely and which not.

DoD:

* Valid API for TypoScript objects and their properties
* stable, minimalistic API for Backend Modules
* API for Node Type definitions (YAML) is properly documented in Integrator Guide"
44971,Base Distribution,Work Package,"",Accepted,Should have,TYPO3 Neos API Definition,Sebastian Kurfuerst,Sebastian Kurfuerst,2013-12-25 21:11,Documentation,1.0 beta 1,"",2013-06-30,90.00,35.10,50,2013-01-30 09:01,"","",1001400,"","h1. Defining the TYPO3 Neos API

* Target Audience: *developers and integrators* who plan to customize TYPO3 Neos
* Responsible: Sebastian Kurfürst <sebastian (at) typo3 (dot) org>
* Implemented by: Sebastian Kurfürst, Robert Lemke
* Amount: 15 work days
* Version: *must have* for 1.0

h2. Motivation

Neos is still under massive development, and will likely stay that way. However, we want to make sure that it is usable for implementors, such that they know which parts we consider as stable.

In practice, this means that the parts of the system which we consider as stable are marked as API. This includes PHP classes, configuration settings, and TypoScript objects.


h2. Goal

Before we can release version 1.0 of Neos, we need to initially check the various components for stability and document that accordingly. Additionally, if we find naming annoyances in parts which are public API we'll rename them as needed.


h2. Deliverables

* *must have, complete*: stable configuration settings (especially node type definitions) are explained and documented in the Neos Integrator Guide
* *must have, complete*: stable TypoScript objects are documented in the Neos Integrator Guide
* *must have, as much as possible*: stable PHP methods in Neos are marked with @api
* *can have*: upgrade Ember to recent version to make extending the property inspector possible"
44975,Base Distribution,Story,"",Accepted,Must have,"Implement module listing for Launch Bar, and fix search",Sebastian Kurfuerst,Christopher Hlubek,2013-02-03 04:39,Content Editing,1.0 beta 1,2013-01-30,"","",0.00,0,2013-01-30 09:52,"","",2954950,"","DoD:

* improve the launch bar such that it shows a list of available modules when the launcher is opened
* improve the search results, displaying at least the content type if labels are empty
* implement the launch bar in other modules (#40717)"
44976,Base Distribution,Story,"",Resolved,Should have,Content Module Frontend Loading Speed Optimization,Sebastian Kurfuerst,Christopher Hlubek,2013-01-31 05:02,Content Editing,Sprint February 2013,2013-01-30,"","",0.00,0,2013-01-30 09:55,"","",2955000,"",* reduce initial load time of backend
44977,Base Distribution,Story,"",New,Must have,TYPO3 Flow (Backend) speed optimization,Sebastian Kurfuerst,"",2013-01-30 09:56,"",1.0 beta 1,2013-01-30,"","",0.00,0,2013-01-30 09:56,"","",2955050,"",""
44978,Base Distribution,Story,"",New,Should have,Multi-Device Content,Sebastian Kurfuerst,"",2013-01-30 10:04,"",1.1,"","","",0.00,0,2013-01-30 10:01,"","",1757400,"",""
44979,Base Distribution,Story,"",New,Should have,Implement Frontend user / group concept,Sebastian Kurfuerst,"",2013-01-30 10:04,"",1.1,"","","",0.00,0,2013-01-30 10:03,"","",1757450,"",""
44980,Base Distribution,Story,"",New,Should have,Show activity stream of changed content in Launch Bar,Sebastian Kurfuerst,"",2013-01-30 10:04,"",1.1,"","","",0.00,0,2013-01-30 10:04,"","",1757650,"",""
44981,Base Distribution,Story,"",New,Should have,Rename Node Types to final names,Sebastian Kurfuerst,"",2013-01-30 10:28,Content Repository,Sprint February 2013,2013-01-30,"","",0.00,0,2013-01-30 10:28,"","",2955100,"",see #44928 for the decisions
44982,Base Distribution,Story,"",Resolved,Should have,Refactor Node Type Definition according to new syntax,Sebastian Kurfuerst,"",2013-03-26 08:04,Content Repository,1.0 beta 1,2013-01-30,"","",0.00,100,2013-01-30 10:38,"","",2955150,"","see #44955 for the to-be-implemented node type definition

h3. How To Review

The change is currently under review in https://review.typo3.org/#/q/topic:44982,n,z

However, the change is quite big, so that's why I created some github repositories which
show the incremental changes which were made (to make the diff more manageable):

* https://github.com/skurfuerst/TYPO3.Neos/commits/dev-nodetyperenaming
* https://github.com/skurfuerst/TYPO3.Neos.ContentTypes/commits/dev-nodetyperenaming
* https://github.com/skurfuerst/TYPO3.TYPO3CR/commits/dev-nodetyperenaming

* For each version which has been *pushed to gerrit*, a tag has been created named *reviewX*
  (e.g. *review1*) in all of the three repositories above

* After every incremental change I did, Neos was (I think) fully functional for me. So you can easily
  check out any intermediate step by just cloning the respective versions from the GitHub repository.

* just make sure to *use the non-minified JavaScript* while testing, and if necessary clear all caches.

*HAPPY TESTING* :-)

h3. Next Steps

* There will be one more *breaking* change for 1.0, which renames *TYPO3.Neos.ContentTypes* to
  *TYPO3.Neos.NodeTypes*. but aside from that, the node type definition should be quite stable now :-)
* Furthermore, the *base node types* will still change once again (#45317)"
44986,Base Distribution,Task,Story #44920: Keyboard shortcuts for content editing,Closed,Must have,The popover dialogs are not closing anymore since a regression introduced in https://review.typo3.org/#/c/14876/5,Rens Admiraal,Rens Admiraal,2013-08-09 10:44,"",Sprint February 2013,"","","",0.00,0,2013-01-30 11:42,"","",1001750,"",""
44989,Base Distribution,Task,"",New,Could have,Make Section/ContentCollection subclassable,Sebastian Kurfuerst,"",2013-01-30 12:08,Content Editing,1.1,2013-01-30,"","",0.00,0,2013-01-30 12:08,"","",1001900,"","Currently, if you create a custom Currently, `Section/ContentCollection` should not be extended by custom types. This should however be possible"
44990,Base Distribution,Story,"",Resolved,Should have,Implement Node Type Schema Validation,Sebastian Kurfuerst,"",2013-04-13 04:46,Content Management,1.0 beta 1,2013-01-31,2013-01-31,"",0.00,100,2013-01-30 12:09,"","",2955200,"",We want to validate the NodeTypes.yaml to provide good messages if the node types are not correct.
44994,Base Distribution,Story,"",Resolved,Should have,Make page tree sticky,Sebastian Kurfuerst,Mattias Nilsson,2013-01-31 06:37,Content Editing,Sprint February 2013,2013-01-30,"","",0.00,100,2013-01-30 17:34,"","",2955250,"","DoD:

* clicking page tree button shows page tree at the left side in full height; pushing the page further to the right

TODO: we need to check the styling in the wireframe mode as well (see https://review.typo3.org/#/c/17853/ )"
45003,Base Distribution,Work Package,"",Accepted,Should have,Media Browser,Sebastian Kurfuerst,Christian Müller,2013-10-15 06:37,Content Editing,1.0 beta 1,"","","",101.17,90,2013-01-31 04:56,"","",1002500,0.00,"h1. Media Browser for Images and Files

* Target Audience: *users* who deal with files and images
* Responsible: Christian Müller <christian (dot) mueller (at) typo3 (dot) org>
* Implemented by: Christian Müller, Karsten Dambekalns, Markus Goldbeck
* Amount: 25 work days
* Version: *must have* for 1.0
* Planned Implementation Timeframe: March - April 2013

h2. Motivation

Neos users need a way to organize images and files to have them reusable in content as content images or downloads. They want to preview the images they need and probably want to search in their available files.

h2. Goal

Create a basic solution for organizing files in Neos which has a simple way to upload new files and browse already uploaded files.
The solution should be usable in Neos content view as well as in Neos Backend modules and other places of the system. That means we need to extend the TYPO3.Media package and do not create dependencies on Neos in order to have this media browser usable in Flow applications as well. Images should be visible as a thumbnail gallery. Users should be able to categorize files (tagging) and search by those categories.

h2. Deliverables

* -MUST: AbstractMediaFile Model -> Image and (to be created) Document model extend that-
* -MUST: MediaFile Repository to find existing files and images-
* -MUST: Media browser (UI) to see existing files and images in the system as independent Flow application-
* -MUST: Uploads in media browser-
* -MUST: Image preview in media browser-
* -MUST: Tag Modelling and relations to files-
* MUST: documentation for users of the media browser and developers that want to use the media browser in Neos modules or Flow applications.
* -MUST: Integration to Neos content view-
* COULD: hierarchical tags
* COULD: search
* COULD: endless scrolling
* MAYBE: Metadata Model and relations"
45004,Base Distribution,Work Package,"",Accepted,Must have,Write TYPO3 Neos Integrator Guide,Sebastian Kurfuerst,Karsten Dambekalns,2013-05-16 04:08,Documentation,1.0 beta 1,"",2013-05-31,60.00,41.72,60,2013-01-31 05:01,"","",1002550,0.00,"h1. Write TYPO3 Neos Integrator Guide

* Target Audience: *developers and integrators* who want to use Neos
* Responsible: Karsten Dambekalns <karsten (at) typo3 (dot) org>
* Implemented by: Karsten Dambekalns, Sebastian Kurfürst <sebastian (at) typo3 (dot) org>
* Amount: 10 work days
* Version: *must have* for 1.0
* Planned Implementation Timeframe: week 12 to 15, 2013

h2. Motivation

Anyone who is about to build a website using TYPO3 Neos needs to be able to have the needed knowledge available in a nice to read documentation. The same is true for developers about to write plugins for Neos or work on the system itself.

In the past the lack of documentation for TYPO3 has always been mentioned (justified or not) as an impediment for adoption. And even those who recognized the existing documentation complain about the learning curve.

h2. Goal

To make it easy for integrators and developers to get into TYPO3 Neos it is thus needed to have documentation available that is *concise*, *easy to understand* and *available* at an early point in the product lifecycle.

What has been started at https://review.typo3.org/17510 will be used as base for this.

h2. Deliverables

* Integrator topics to be covered [MUST]
** ? Installation / Getting started
** ? TYPO3CR: structure, nodes and content types
** ? How a page is rendered
** ? Using custom templates for the site and custom elements
** ? TypoScript introduction
** Using TypoScript to tweak rendering (cookbook style)
** TypoScript objects and Patterns (TODO Sebastian)
** ? TypoScript inside (concepts and motivation on TypoScript)
** ? Creating custom content types
** Configuring Neos UI elements for types
** Creating a plugin for Neos (TODO: should be Developer Guide, not Integrator Guide)
** Localisation using a multi-tree approach
** Site deployment (using Surf)
* Neos developer topics to be covered [MUST]
** Coding guidelines
** Working on the UI
** FE system architecture
** (TODO Sebastian) Diagram: How the content module works (and a little text)
** Creating custom ""backend"" modules
* ? have the guide rendered on docs.typo3.org [MUST]
* ? have the guide advertised/linked on neos.typo3.org [MUST]
* ? written in english [MUST]
* proofread by a native speaker"
45007,Base Distribution,Work Package,"",Accepted,Should have,Basic Accessibility of the Neos Backend (step 1),Sebastian Kurfuerst,Rens Admiraal,2013-10-22 16:09,Content Editing,1.0 beta 1,2013-05-15,"","",0.00,100,2013-01-31 05:23,"","",1002700,0.00,"h1. Accessibility of the Neos Backend

* Target Audience: *power users or people with disabilities* who want to edit content using the keyboard or assistive devices like screen readers
* Responsible: ""Rens Admiraal (click to contact)"":http://forge.typo3.org/users/3198
* Implemented by: Rens Admiraal, Patrick Broens
* Amount: 20 work days
* Version: *must have* for 1.0
* Planned Implementation Timeframe: February till half-way april

h2. Motivation

People with disabilities can have huge problems using webapplications. There are specifications available like WAI-ARIA which can be used for enabling those people to use all features the Neos interface offers.
A power user is used to using keyboard shortcuts and navigation. As the WAI-ARIA specification already requires keyboard navigation the power user will have a faster editing experience.

h2. Goal

We aim for a backend, usable by all people, not limited by disabilities. It has to be compatible with assistive technology like screenreaders. By having a smooth keyboard control the content editing will also be a lot faster for power users.
Besides implementation we aim for awareness by offering guidelines and documentation how other developer can develop modules in Neos following the same principles so those will be accessible too.
In this work package we will implement the first steps needed to have an accessible backend. 

h2. Deliverables

* Add WAI-ARIA landmarks / roles for application, navigation, content and inspector
* Enable keyboard navigation trough content elements and the inspector (WAI-ARIA)
* Edit Content with Keyboard Shortcuts (general editing like copy, paste, cut, delete and create on content elements)
* *Could have* keyboard navigation in menubar and toolbar
* *Could have:* A clear help function in the for usage of this feature (like the overlay in for example gerrit or github)
* Keyboard mapping for cross-browser / OS compatibility (using a library like http://craig.is/killing/mice)
* Documentation of the feature, and documentation for other developers using / extending Neos
* Publications

h2. Dont' haves

* Custom content editors like image editor / cropping are not supported"
45008,Base Distribution,Work Package,"",Accepted,Must have,Content Editing on Tablet Devices,Sebastian Kurfuerst,Rens Admiraal,2013-05-16 04:28,Content Editing,1.0 beta 1,2013-04-16,2013-06-28,60.00,0.00,0,2013-01-31 05:26,"","",1002750,"","h1. Content Editing on Tablet Devices

* Target Audience: *users* who want to edit content on a tablet device
* Responsible: Rens Admiraal
* Implemented by: Rens Admiraal, Patrick Broens
* Amount: 10 work days
* Version: *must have* for 1.0
* Planned Implementation Timeframe: Half way april till end of may

h2. Motivation

A lot of content editors / users make use of tablets. A working content editing user interface for tablets is a must have.

h2. Goal

Make the Neos user interface work for tablet users.

h2. Deliverables

* Make the Neos content editing user interface working on tablets
* If the onscreen keyboard is opened the unneeded ui elements will be hidden
* Tablet specific styling for buttons & controls
* Working backend modules on tablet
* Make the current userinterface work on smaller screens till the screensize of ipad mini (7"")

h2. Won't haves

* The page tree component will not have drag and drop support
* Custom content editors like the image editor are not guaranteed to work"
45009,Base Distribution,Work Package,"",New,Should have,[EPIC] mobile phone version of content editing,Sebastian Kurfuerst,"",2013-05-16 04:28,"","",2013-06-29,2013-06-29,"",0.00,0,2013-01-31 05:27,"","",1002800,"","h1. mobile phone version of content editing

* Target Audience: *users* want to edit content using a mobile phone
* Responsible: XY
* Implemented by: XY, YZ
* Amount: XY work days
* Version: *not planned yet*
* Planned Implementation Timeframe: X - Y

h2. Motivation

[TODO write goal from a user's perspective. Try to answer the question: ""Why is this work package important for the target group?""]

h2. Goal

[TODO what do you want to archieve? Try to answer the question: ""What do you want to archieve?""]

h2. Deliverables

[TODO: write bullet points for measurable deliverables; flag them as must have and can have]"
45010,Base Distribution,Work Package,"",Closed,Must have,[WIP] Fine-Grained Access Control in Frontend and Backend,Sebastian Kurfuerst,Rens Admiraal,2014-02-24 05:22,General / Project,1.1,2013-01-31,"","",0.00,0,2013-01-31 05:32,"","",1002850,"","h1. Fine-Grained Access Control in Frontend and Backend

* Target Audience: *content editors* who want to restrict access to certain parts of the (frontend) website; *administrators* who want to limit the allowed things backend users can do
* Responsible: Rens Admiraal
* Implemented by: XY, YZ
* Amount: XY work days
* Version: *must have* for Neos 1.1
* Planned Implementation Timeframe: X - Y

h2. Motivation

[TODO write goal from a user's perspective. Try to answer the question: ""Why is this work package important for the target group?""]

h2. Goal

[TODO what do you want to archieve? Try to answer the question: ""What do you want to archieve?""]

h2. Deliverables

[TODO: write bullet points for measurable deliverables; flag them as must have and can have]"
45011,Base Distribution,Story,"",New,Could have,Make user settings changeable in the Neos backend,Sebastian Kurfuerst,"",2013-01-31 05:39,"","",2013-01-31,"","",0.00,0,2013-01-31 05:39,"","",2955300,"","DoD:

* make user settings changeable for the user itself
* make user settings changeable for the admin user"
45012,Base Distribution,Work Package,"",Closed,Must have,Translated Neos backend,Sebastian Kurfuerst,Bastian Waidelich,2015-01-30 08:41,Global User Interface,1.1,2013-01-31,"","",0.00,0,2013-01-31 05:58,"","",1002900,"","h1. TODO title

* Target Audience: *users* who deal with files and images
* Responsible: XY
* Implemented by: XY, YZ
* Amount: XY work days
* Version: *must have* for version 1.1
* Planned Implementation Timeframe: X - Y

h2. Motivation

[TODO write goal from a user's perspective. Try to answer the question: ""Why is this work package important for the target group?""]

h2. Goal

[TODO what do you want to archieve? Try to answer the question: ""What do you want to archieve?""]

h2. Deliverables

[TODO: write bullet points for measurable deliverables; flag them as must have and can have]"
45013,Base Distribution,Work Package,"",Resolved,Should have,Flexible plugin integration (TODO: Reviews),Sebastian Kurfuerst,Marc Neuhaus,2014-01-30 08:03,General / Project,1.0 beta 1,2012-04-09,2013-04-20,120.00,103.00,100,2013-01-31 06:04,"","",1002950,0.00,"h1. Flexible plugin integration

* Target Audience: *developers and integrators* who want to use Neos
* Responsible: ""Marc Neuhaus (click to contact)"":http://forge.typo3.org/users/3273
* Implemented by: ""Marc Neuhaus (click to contact)"":http://forge.typo3.org/users/3273, ""Bastian Waidelich (click to contact)"":http://forge.typo3.org/users/61
* Amount: 20 work days
* Version: *must have* for 1.0
* Planned Implementation Timeframe: week 9 to 15, 2013

h2. Motivation

About ten years ago when Kasper presented the first version of the *Extension Kickstarter* that was a little sensation and resulted in a boost of contributions. Without it's extensibility and without the good old *pibase* TYPO3 would probably not be as popular as it is today.
For Neos we want to provide a solid plugin foundation right from the start.

h2. Goal

Neos already contains a *plugin TypoScript object* but the current implementation is very basic to say the least. We need to work on that in order to make it very easy for people to write plugins and/or to turn Flow packages into a Neos plugin without having to mess with the original package code.
What has been started at #40599 will be used as base for this.

h2. Deliverables

* *MUST*: Polished Backend UX (as described in #40599)
* *MUST*: ""touchless"" integration of Flow packages
** resolve links automatically
** overridable View configuration (change templates, view implementation & options without changing the original package, see #42176)
** improve Fluid link/uri ViewHelpers (#35790)
* *MUST*: stable plugin API (provide a *PluginService* that can be used everywhere in order to fetch data about certain plugins & plugin views)
* *MUST*: documentation (developer guide, integrator guide, step-by-step example)
* *MUST*: solid test coverage
* *COULD*: example plugin showing off all relevant features of the API"
45019,Base Distribution,Work Package,"",New,Should have,[WIP] Real-World Error Reporting,Sebastian Kurfuerst,"",2013-01-31 07:37,"","",2013-01-31,"","",0.00,0,2013-01-31 07:36,"","",1003250,"","h1. Real-World Error Reporting

* Target Audience: *TYPO3 Neos Contributors* who want to fix bugs occuring in real-world settings
* Responsible: XY
* Implemented by: XY, YZ
* Amount: XY work days
* Version: *not planned yet*
* Planned Implementation Timeframe: X - Y

h2. Motivation

[TODO write goal from a user's perspective. Try to answer the question: ""Why is this work package important for the target group?""]

h2. Goal

[TODO what do you want to archieve? Try to answer the question: ""What do you want to archieve?""]

h2. Deliverables

[TODO: write bullet points for measurable deliverables; flag them as must have and can have]

* JavaScript errors are logged on the server side as well
* server-side errors (and JS errors) are reported to an error/exception reporter service
* decide on which server side we use
* related: update notifications"
45020,Base Distribution,Work Package,"",Closed,Could have,Content Editing Stability and Features,Sebastian Kurfuerst,Aske Ertmann,2014-11-02 12:22,Content Editing,1.0 beta 1,2012-01-06,"","",0.00,95,2013-01-31 07:40,"","",1003300,0.00,"h1. Content Editing Stability and Features

* Target Audience: *users* who want to edit content
* Responsible: Aske Ertmann
* Implemented by: the whole Neos Team
* Amount: not estimatable, *not paid, done on voluntary basis*
* Version: *must have* for 1.0
* Planned Implementation Timeframe: continuous work

h2. Motivation

As in-page content editing is the main way a content editor interacts with TYPO3 Neos, it's crucially important that this works flawlessly without hickups.

h2. Goal

We want to solve as many as possible bugs regarding content editing, and fill in the remaining gaps in content editing.

h2. Deliverables

* fix as many content editing bugs as possible for that.
* improve content editing (table insertion, improved links)"
