#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Has patch,Affected Flow version,Description
2209,TYPO3.Fluid,Feature,"",Resolved,Should have,"Improve ""select"" view helper",Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"","",2008-11-26,"","",100,2008-11-26 09:26,"","",2602100,"","","","The select view helper needs to handle domain objects as well. 
See http://grails.org/doc/1.0.x/ref/Tags/select.html"
2210,TYPO3.Fluid,Task,"",Resolved,Should have,eclipse integration,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"","",2008-11-26,"","",100,2008-11-26 09:28,"","",11100,"","","",autocompletion for view helpers
2228,TYPO3.Fluid,Major Feature,"",Rejected,Won't have this time,Default namespaces,Niels Fröhling,"",2010-10-20 05:44,"","",2008-11-27,"","",0,2008-11-27 05:17,"","",2602050,"","","","It would very powerfull to turn on a default namespace:
A viewhelper-method like:

<f3::textarea />

Could be used to implement self-correcting and output sensitive templates:

{namespace f3=F3::Beer3::XHTML default}
<textarea />

Immediatly textarea becomes a method, can add default-attributes, like rows/cols and may even be used for complete transformation (into another language: XHTML -> PDF).

--------------------------------------------------------
As reminder of the ongoing discussion here a little log:

Ich verstehe, dass die Logik ist, dass im Falle des XML<->BEER mixes, BEER-tags immer namespace haben? Ist das nicht zu restriktiv. Wäre es nicht besser overlayed default-namespaces zu machen? Ein Beispiel:

<xform type=""text"" >

Im Falle, des wenn die Applikation erkennt, dass mein Browser XForms kann, wird <xform> nicht verändert (default namespace: null). Im anderen Fall wird der default namespace auf xform::iecrap gesetzt und der Tag ist als ViewHelper in iecrap implementiert, und spuckt schön HTML3 aus.

Dies impliziert natürlich sozusagen special handling für XML-basierte templates, da dieselbe Logik nicht für XYZ reicht:

\{xform type,text}

Nun kann man selbstverständlich nichts mit einem namespace-overlay und default-namespace anfangen. Allerdings halte ich die default-namespace Geschichte für sehr wichtig um switchende und overloaded ViewHelpers

Ein weiterer Aspekt ist, dass Du vielleicht Deine ViewHelper in Klassen Kategorisieren möchtest. Sagen wir mal Du erzeugst ein XHTML+XML mit embedded SVG:

{namespace xhtml=F3::Beer3::XHTML default}
{namespace xft=F3::Beer3::XHTML::FireFox::Tools default overlay}
<blabla XHTML-code>
<svg>
   {namespace sft=F3::Beer3::SVG::FireFox::Tools default}
   <blabla SVG-code>
</svg>
<blabla XHTML-code>

So, geht natürlich nicht anders als im Firefox. Deshalb switchend:

{namespace xhtml=F3::Beer3::XHTML default}
{namespaceswitch
    xft=F3::Beer3::XHTML::FireFox::Tools
    xft=F3::Beer3::XHTML::IEcrap::Tools
default overlay}
<blabla XHTML-code der im Falle des IE in HTML verwandelt wird>
<svg>
   {namespaceswitch
       xft=F3::Beer3::SVG::FireFox::Tools 
       xft=F3::Beer3::SVG::IEcrap::Tools 
    default}
   <blabla SVG-code der im Falle des IE in VML verwandelt wird>
</svg>
<blabla XHTML-code der im Falle des IE in HTML verwandelt wird>

Das heisst ViewHelpers würden TagLibraries implementieren können.
Und damit wäreen Beer-Templates Tranformation-Fähig. Allerdings nur für XML-dialekte. Oder für Total-Transformationen.

In einfachen Worten nochmal, wenn Du default-NS hättest, und die namespace-definition weglassen könntest, könntest Du ViewHelper über HTML-Tags definieren.

Evtl. sollte man ganz einfach den Switch in den ViewHelper-constructor legen, und der liefert eine null-Klasse, oder eine korrigierende Klasse.
"
2230,TYPO3.Fluid,Feature,"",Rejected,Should have,Overlay named and default namespaces,Niels Fröhling,"",2010-10-20 05:44,"","",2008-11-27,"","",0,2008-11-27 05:28,"","",2602000,"","","","Implement overloading on namespaces:

{namespace f3=F3::Beer3::HTML overlay}
{namespace f3=F3::Beer3::XHTML1 overlay}
{namespace f3=F3::Beer3::XHTML2 overlay}
{namespace f3=F3::Beer3::XHTML2::XFORMS overlay}

Then a tag:

<f3::xform type=""text"" />

is called/searched in cascade:

$in = ...
foreach (all namespaces f3::) {
    if (viewhelper in current namespace has method xform)
       $in = viewhelper->xform(params)
}

It's important to keep the Cascade in mind in repect to default-namespaces, as this enables almost complete OOP behaviour for ViewHelpers as Transformers:

initial
F3::Beer3::XHTML2::XFORMS->xform              $in = <xform type=""text"" />
F3::Beer3::XHTML2->xform                      $in = <input type=""text"" style=""color: red"" />
F3::Beer3::XHTML1->input                      $in = <input type=""text"" style=""color: red"" />
F3::Beer3::HTML->input                        $in = <input type=""text"" color=""red"">
"
2246,TYPO3.Fluid,Bug,"",Resolved,Should have,Tag which disables parsing,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"","",2008-11-29,"","",100,2008-11-29 12:40,"","",2601950,"","","","We need some tag between which every string is being taken as literal - else, we get problems because {} in JavaScript is replaced..."
2359,TYPO3.Fluid,Bug,"",Resolved,Could have,Update Documentation [has patch],Irene Höppner,"",2010-10-20 05:44,"","",2008-12-22,"","",0,2008-12-22 04:17,"","",2601900,"","","","Fluid:
* updated documentation to new namespace syntax
* replaced BEER3 with Fluid in documentation"
2486,TYPO3.Fluid,Bug,"",Resolved,Must have,Template names not resolved correctly (file name case issue),Karsten Dambekalns,Sebastian Kurfuerst,2010-10-20 05:44,"","",2009-01-20,"","",0,2009-01-20 07:52,"","",2601850,"","","","In r1769 I tried to fix a bug which I experienced, in r1773 I reverted the case-change to the template file names. Now, here is what the problem is:

When you call the XSD generation helper, you simply call http://.../fluid

# Since no controller and action is given, ""Default"" and ""index"" are used
# The template is resolved as "".../Default/index.html"", fine.

Now you fill in the form and press proceed.

# Controller and action are given, ""default"" and ""generatexsd"" are used
# The template is resolved as "".../default/generatexsd.html""
# The file lies in "".../Default/generateXSD.html"" and cannot be found, leading to Exception 1225709595

The FLOW3 MVC part circumvents the problem by using getCaseSensitiveObjectName() when looking for controller or view objects. Since the template is not registered with the object manager, this is of no help here, but a similar mechanism is needed.

*Note:* The problem can only be reproduced on a case-sensitive filesystem."
2669,TYPO3.Fluid,Feature,"",Closed,Could have,PDF version of the documentation,Fabien Udriot,"",2012-02-17 06:55,"","",2009-02-20,"","",0,2009-02-20 08:04,"","",2601800,"","","","In the attachment, there is the PDF version of the documentation.

If you are interested by the script that makes the conversion DocBook -> PDF, let me know.

Cheers."
2815,TYPO3.Fluid,Feature,"",Resolved,Must have,Support for objects as values in hidden fields,Robert Lemke,Robert Lemke,2010-10-20 05:44,"",1.0.0 alpha 1,2009-03-10,"","",100,2009-03-10 11:12,"","",2603100,"","","","Currently only types which can be casted to string are support as values in hidden form fields. However, it should be possible to use (domain) objects as values:

<pre>
	<f3:form method=""post"" action=""create"" object=""invoice"">
		<f3:form.textbox name=""properties[title]"" property=""title"" />
		<f3:form.textarea name=""properties[description]"" property=""description"" />
		<f3:form.hidden name=""properties[customer]"" value=""{customer}"" />
		<f3:form.submit>Create Invoice</f3:form.submit>
	</f3:form>
</pre>

Internally Fluid would convert the object into an identity array (not clear yet, if / when it becomes array('__uuid' => '1234...') or array('__identity' => array('title' => 'the title', 'number' => 234)) which then is converted back to an object by FLOW3's MVC framework on processing the request after the form has been submitted."
2824,TYPO3.Fluid,Bug,"",Resolved,Must have,TemplateView can't be easily extended,Bastian Waidelich,Sebastian Kurfuerst,2010-10-20 05:44,"","",2009-03-11,"","",0,2009-03-11 18:41,"","",2601750,"","","","When using custom views that extend F3\Fluid\View\TemplateView the required cache backend is not properly initialized because FLOW3s dependency injection is active only for configured classes, not their subclasses.
First I thought this was a bug in the DI mechanism. Meanwhile I'm not sure anymore and I don't know, how other DI-frameworks handle this issue.

A solution would be to extract cache handling into an AOP aspect which is active for subclasses too. Patch follows."
2983,TYPO3.Fluid,Bug,"",Resolved,Should have,Create a LinkViewHelper for TYPO3 v4 Fluid,Sebastian Kurfuerst,Bastian Waidelich,2010-10-20 05:44,"","",2009-03-26,"","",100,2009-03-26 13:19,"","",2601700,"","","","Currently, Fluid for TYPO3 v4 does not have the possibility to create links to other pages in TYPO3.
This needs to be fixed urgently..

Something like <f3:link action=""..."" controller=""...""></f3:link> should be possible.

Additionally, the functionality of TYPOLINK needs to be accessed as well (links to a given UID, PID; ...)"
3065,TYPO3.Fluid,Bug,"",Resolved,Should have,ObjectFactory is unable to call t3lib_div::makeInstance.,Jochen Rau,Sebastian Kurfuerst,2010-10-20 05:44,"","",2009-04-09,"","",100,2009-04-09 15:36,"","",2601650,"","","",ObjectFactory is unable to call t3lib_div::makeInstance. See attached image. 
3068,TYPO3.Fluid,Bug,"",Resolved,Must have,Fluid: TranslateViewHelper does only work once,Niels Pardon,Niels Pardon,2010-10-20 05:44,"","",2009-04-10,"","",100,2009-04-10 05:52,"","",2601600,"","","","The TranslateViewHelper does only work once. If you put more than one translate tag in your template only the first gets translated.

By looking at the code I think that it gets even worse. The TranslateViewHelper will only work once per HTTP request. That means that only the first translate tag of the first loaded extension will get translated and the following translate tags won't.

The problem seems to be the initialization check. The TranslateViewHelper will not get initialized after the first instance and therefore the member variable $this->LOCAL_LANG which holds the locallang information is empty.

I would suggest to create a LanguageRegistry (a Singleton) which holds the locallang information once per extension. Where should something like this be put? extbase or fluid?"
3071,TYPO3.Fluid,Bug,"",Resolved,Should have,Allow objects implementing Iterator interface in each attribute of for view helper,Niels Pardon,Sebastian Kurfuerst,2010-10-20 05:44,"","",2009-04-10,"","",0,2009-04-10 13:16,"","",2601550,"","","",I am currently plaing a bit around with porting the extension seminars to extbase and fluid. We already have our own Mappers and Models based on oelib. We are using a class tx_oelib_List which implements PHP's Iterator interface for e.g. M:M relations. Would be great if we could use an object implementing the Iterator interface with Fluid's for view helper.
3075,TYPO3.Fluid,Bug,"",Resolved,Must have,TranslateViewHelper: TypoScript override does not work,Niels Pardon,Jochen Rau,2010-10-20 05:44,"","",2009-04-11,"","",0,2009-04-11 09:11,"","",2601500,"","","","The problem is that the configuration manager that is requested in the TranslateViewHelper has an empty array in $this->settings. So somehow the Singleton stuff is not working correctly as the confuiguration manager created in the dispatcher has the right configuration in $this->settings.

I couldn't find out the cause of the problem. Any help is appreciated."
3122,TYPO3.Fluid,Bug,"",Resolved,Must have,ViewHelper arguments are not properly passed to render() method,Bastian Waidelich,Sebastian Kurfuerst,2010-10-20 05:44,"","",2009-04-17,"","",0,2009-04-17 11:36,"","",2601450,"","","","If a ViewHelper registers different arguments than it accepts in the render()-method, arguments are not properly injected:
<pre>
class MyViewHelper extends \F3\Fluid\Core\TagBasedViewHelper {
	@param string $someArgument
	public function render($someArgument) {...}
}
</pre>

In this example $someArgument will have the value of the ""additionalAttributes""-argument that was registered in the parent ViewHelper."
3287,TYPO3.Fluid,Bug,"",Resolved,Must have,add @internal annotations,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"",1.0.0 alpha 1,2009-05-14,"","",100,2009-05-14 06:22,"","",2603050,"","","",add @internal annotations
3288,TYPO3.Fluid,Bug,"",Resolved,Should have,ViewHelper fine tuning,Sebastian Kurfuerst,Bastian Waidelich,2010-10-20 05:44,"",1.0.0 alpha 1,2009-05-14,"","",100,2009-05-14 06:25,"","",2603000,"","","","- add correct documentation
- rename and move LinkViewHelpers
  link.*
  uri.*
  link -> link.action
  uri -> uri.action 
- *Do we want shortcuts?*
"
3289,TYPO3.Fluid,Feature,"",Resolved,Must have,view context,Sebastian Kurfuerst,"",2010-10-20 05:44,"",1.0.0 alpha 1,2009-05-14,"","",100,2009-05-14 06:27,"","",2602950,"","","","we need a view context to pass information from controller to view
TODO: Naming!"
3290,TYPO3.Fluid,Bug,"",Resolved,Must have,add ViewHelperContext,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"",1.0.0 alpha 1,2009-05-14,"","",100,2009-05-14 06:27,"","",2602900,"","","","add ViewHelperContext
- getView
- getRequest
- addVariables, ..."
3291,TYPO3.Fluid,Feature,"",Needs Feedback,Should have,Cacheable viewhelpers,Sebastian Kurfuerst,"",2012-11-29 11:00,"","",2009-05-14,"","",0,2009-05-14 06:27,"","",2601350,"",No,"",we need a concept for cacheable viewhelpers
3292,TYPO3.Fluid,Bug,"",Resolved,Should have,viewhelper backend support,Sebastian Kurfuerst,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2009-05-14,"","",100,2009-05-14 06:28,"","",2601300,"","","",we need support for using viewhelpers in BE
3293,TYPO3.Fluid,Feature,"",Resolved,Should have,support for legacy TypoScript (with . at end),Sebastian Kurfuerst,"",2010-10-20 05:44,"",1.0.0 alpha 3,2009-05-14,"","",100,2009-05-14 06:37,"","",2603900,"","","","I HATE IT!!! I just entered 20 lines, but now I will just solve the bug..."
3294,TYPO3.Fluid,Bug,"",Resolved,Should have,Introduce reflection cache,Sebastian Kurfuerst,"",2010-10-20 05:44,Core,1.0,2009-05-14,"","",100,2009-05-14 06:38,"","",2603550,"","","",Introduce reflection cache
3295,TYPO3.Fluid,Bug,"",Resolved,Should have,implement shorthand syntax,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"",1.0.0 alpha 1,2009-05-14,"","",100,2009-05-14 06:40,"","",2602850,"","","",example: {f:date()} - the () are mandatory
3296,TYPO3.Fluid,Bug,"",Resolved,Must have,override templatePath,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"","",2009-05-14,"","",100,2009-05-14 06:46,"","",2601250,"","","",override templatePath with TypoScript
3297,TYPO3.Fluid,Feature,"",Closed,Should have,flash message,Sebastian Kurfuerst,"",2010-10-20 05:44,"",1.0.0 alpha 1,2009-05-14,"","",0,2009-05-14 06:47,"","",2602800,"","","",implement flash message
3298,TYPO3.Fluid,Bug,"",Resolved,Should have,"""if"" expression language",Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,Core,1.0.0 alpha 2,2009-05-14,"","",100,2009-05-14 07:04,"","",2603500,"","","","""if"" expression language - we need some expression language for IF"
3311,TYPO3.Fluid,Task,"",Closed,Should have,Refactor Unit tests,Bastian Waidelich,"",2011-05-05 12:28,"","",2009-05-15,"","",0,2009-05-15 05:24,"","",15750,"","","",One unit test should only depend on *one* concrete class. All dependencies must be mocked or put in fixtures to avoid sideeffects and to reduce the adaption work that is needed when changing class/method signatures.
3317,TYPO3.Fluid,Feature,"",Resolved,Must have,AbstractFormViewHelper must be adjusted to be able to namespace arguments,Bastian Waidelich,Sebastian Kurfuerst,2010-10-20 05:44,"","",2009-05-15,"","",100,2009-05-15 10:33,"","",2601200,"","","",see http://forge.typo3.org/issues/show/3316
3339,TYPO3.Fluid,Bug,"",Resolved,Must have,TagBuilder->setContent should not escape HTML,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"","",2009-05-16,"","",100,2009-05-16 06:18,"","",2601150,"","","",TagBuilder->setContent should not escape HTML
3359,TYPO3.Fluid,Bug,"",Resolved,Should have,Restructure Class structure in Fluid Core,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"",1.0.0 alpha 1,2009-05-18,"","",100,2009-05-18 03:29,"","",2602750,"","","","I propose to change the Fluid Core classes like that:

Core/
	ViewHelper/
		Facets/
		AbstractViewHelper
		TagBasedViewHelper
		TagBuilder
		ViewHelperContext
		ViewHelperException?
		ViewHelperInterface
		ViewHelperArguments -> Arguments?
	Parser/
		SyntaxTree/
		ParsedTemplateInterface
		ParsingException?
		ParsingState
		TemplateParser

This changes the following public API classes:
Core\TemplateParser -> Core\Parser\TemplateParser.

"
3385,TYPO3.Fluid,Feature,"",Resolved,Must have,Add method to check for template availability,Karsten Dambekalns,Karsten Dambekalns,2010-10-20 05:44,"",1.0.0 alpha 1,2009-05-19,"","",100,2009-05-19 10:42,"","",2602700,"","","",It must be possible to ask Fluid\TemplateView if it could resolve a template file for the current controller context.
3394,TYPO3.Fluid,Task,"",Resolved,Should have,Adjust PHPDoc Comment of ImageViewHelper,Susanne Moog,Bastian Waidelich,2010-10-20 05:44,"","",2009-05-20,"","",0,2009-05-20 09:09,"","",16450,"","","","At a first glance it's not logical that the width and height are expected to be strings whereas maxWidth etc. are expected to be integer values. The PHPDoc comment should better explain, that you can enter image manipulating values into width and height. I'm not really sure about the exact text, but I attached a patch that in my opinion makes it a bit clearer."
3412,TYPO3.Fluid,Bug,"",Resolved,Should have,ViewHelperNode.php -> convertArgumentValue() -- wrong handling of integers and booleans,Susanne Moog,Bastian Waidelich,2010-10-20 05:44,Core,"",2009-05-22,"","",100,2009-05-22 02:51,"","",2601050,"","","","If you enter in some fluid if condition a parameter that is a true boolean like TRUE it gets converted to FALSE by the convertArgumentValue(). Same happens if the value is an integer != 0, it's still evaluated to false. Attached patch fixes it for me."
3413,TYPO3.Fluid,Feature,"",Resolved,Could have,Handing the settings over to the view,Susanne Moog,Sebastian Kurfuerst,2010-10-20 05:44,Core,1.0.0 alpha 2,2009-05-22,"","",100,2009-05-22 02:53,"","",2603450,"","","",Hand over $this->settings to the view so it is accessible by {settings} in the template.
3443,TYPO3.Fluid,Bug,"",Resolved,Should have,Unreachable code in TemplateView,Bastian Waidelich,Sebastian Kurfuerst,2010-10-20 05:44,Core,1.0.0 alpha 3,2009-05-25,"","",100,2009-05-25 06:04,"","",2603850,"","","","line 246 in F3\Fluid\View\TemplateView can never be reached as there is a return before that:

<pre>
		return $parsedTemplate->render($renderingContext);
		
		
		// TODO -> Never executed???
		if ($sectionToRender !== NULL) {
			$sections = $partial->getVariableContainer()->get('sections');
			if(!array_key_exists($sectionToRender, $sections)) {
				throw new \F3\Fluid\Core\RuntimeException('The given section does not exist!', 1227108983);
			}
			$syntaxTree = $sections[$sectionToRender];
		} else {
			$syntaxTree = $partial->getRootNode();
		}
		$syntaxTree->setRenderingContext($renderingContext);
		return $syntaxTree->evaluate();
</pre>"
3479,TYPO3.Fluid,Feature,"",Resolved,Should have,Implement ViewHelperVariableContainer,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,Core,1.0.0 alpha 1,2009-05-27,"","",100,2009-05-27 05:54,"","",2602650,"","","",Implement ViewHelperVariableContainer
3480,TYPO3.Fluid,Bug,"",Resolved,Must have,SelectViewHelper creates multiple select field by default,Robert Lemke,Sebastian Kurfuerst,2010-10-20 05:44,ViewHelpers,1.0.0 alpha 1,2009-05-27,"","",100,2009-05-27 05:59,"","",2602600,"","","","This Fluid HTML

<pre>
<f:form.select property=""versionNumber"" options=""{nextPossibleVersions}"" />
</pre>

is rendered as 

<pre>
<select name=""newRelease[versionNumber][]"">
<option value=""0"">1.0.0-alpha1</option>
<option value=""1"">1.0.0-beta1</option>
</select>
</pre>

even though I didn't specify a ""multiple"" argument. This is not what I'd expect."
3481,TYPO3.Fluid,Bug,"",New,Should have,Use ViewHelperVariableContainer in PostParseFacet,Sebastian Kurfuerst,"",2011-10-21 07:37,Core,"",2009-05-27,"","",0,2009-05-27 06:05,"","",2601000,"",No,FLOW3 1.0.0,Currently TemplateVariableContainer is used
3525,TYPO3.Fluid,Feature,"",Resolved,Should have,"translateViewHelper and key=""LLL:EXT:lang/locallang_core.xml:show_item.php.table"" ",Susanne Moog,Bastian Waidelich,2010-10-20 05:44,"","",2009-06-01,"","",100,2009-06-01 10:35,"","",2600950,"","","","The translateViewHelper should be able to resolve referenced paths to external lang files given in the form key=""LLL:EXT:lang/locallang_core.xml:show_item.php.table"". "
3551,TYPO3.Fluid,Bug,"",Resolved,Should have,HtmlViewHelper outputs htmlspecialchared code,Joerg Schoppet,Sebastian Kurfuerst,2010-10-20 05:44,Core,1.0.0 alpha 2,2009-06-03,"","",100,2009-06-03 13:51,"","",2603400,"","","","Hi,

using the HtmlViewHelper at least in typo3 4.3 the output is always htmlspecialchared.

Adding:
@$value = htmlspecialchars_decode($value);@

after line 71 of Tx_Fluid_ViewHelpers_Format_HtmlViewHelper

solve this problem. But I don't know if this is the wanted way."
3592,TYPO3.Fluid,Feature,"",Resolved,Should have,Alias view helper for setting template variables,Christopher Hlubek,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,1.0.0 alpha 2,2009-06-05,"","",100,2009-06-05 09:56,"","",2603350,"","","","There should be an alias view helper that can set variables in the template.

The following use cases should be supported:

<pre>
<f:alias value=""{foo.bar.baz}"" as=""x"">
{x.name}
</f:alias>
<f:alias map=""{x: foo.bar.baz, y: foo.bar.baz.name}"">
{x.name} or {y}
</f:alias>
</pre>
"
3595,TYPO3.Fluid,Feature,"",Closed,Should have,Convert integer types to boolean for if viewhelper,Balisky Christophe,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,1.0.0 alpha 2,2009-06-06,"","",0,2009-06-06 03:13,"","",2603300,"","","","Hello, after wndeirng why certain if conditions didn't work in my flow templates, i figures out it was because it didn't convert interger values to boolean correctely. I suggest modifiying the convertArgumentValue method in the Tx_Fluid_Core_SyntaxTree_ViewHelperNode accordingly. Positive integer values superior to 0 are considered true all others are false.

	/**
	 * Convert argument strings to their equivalents. Needed to handle strings with a boolean meaning.
	 * 
	 * @param mixed $value Value to be converted
	 * @param string $type Target type
	 * @return mixed New value
	 * @author Sebastian Kurfürst <sebastian@typo3.org>
	 * @author Bastian Waidelich <bastian@typo3.org>
	 * @todo re-check boolean conditions
	 */
	protected function convertArgumentValue($value, $type) {
		//echo ""<br>$value - $type"";
		if ($type === 'boolean') {
			if (is_string($value)) {
				//echo ""string"";
				return (strtolower($value) !== 'false' && !empty($value));
			}
			if (is_array($value) || (is_object($value) && $value instanceof Countable)) {
				//echo ""array"";
				return count($value) > 0;
			}
			if (is_object($value)) {
					//echo ""object"";
				return TRUE;
			}

			//----> NEW CODE
			if (is_integer($value)) {
				//echo ""integer"";
				return $value > 0;
			}
			// END NEW CODE ---->

			return FALSE;
		}
		return $value;
	}"
3635,TYPO3.Fluid,Bug,"",Closed,Must have,Fluid: SelectViewHelper always appends the select-field's name with [],Marcel Rosenberger,Bastian Waidelich,2010-10-20 05:44,"","",2009-06-09,"",0.00,0,2009-06-09 13:14,"","",2600900,"","","","The name for a select-field will always be appended by [] whether the field is multiple or not.

<pre>
<f:form.select name=""mySelectField"" options=""{0: 'no', 1: 'yes'}"" value=""0"" />
</pre>

will result to

<pre>
<select name=""mySelectField[]"">
    <option value=""0"" selected=""selected"">no</option>
    <option value=""1"">yes</option>
</select>
</pre>

Note: mySelectField[] instead of mySelectField

The included file is a suggestion to fix the bug."
