#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Has patch,Affected Flow version,Description
45345,TYPO3.Fluid,Feature,"",Needs Feedback,Should have,Easy to use comments for fluid that won't show in output,Stefan Neufeind,"",2013-03-26 15:40,"","",2013-02-10,"","",0,2013-02-10 17:49,"","",1019300,"","","","Proposal from Michael Knoll:
Use <!--- ... ---> (three minus instead of the usual two).

http://mimi.kaktusteam.de/blog-posts/2012/02/fluid-comments/"
45384,TYPO3.Fluid,Bug,"",New,Must have,Persisted entity object in widget-configuration cannot be deserialized (after reload),Benno Weinzierl,"",2013-08-14 09:35,Widgets,2.0.1,2013-02-11,"","",0,2013-02-11 12:36,"","",1021250,"",No,Git master,"I have a widget with a persisted entity object (e.g. MyNamespace\SpecialProduct derived from MyNamespace\Product) in its widget-configuration.

The object gets serialized in the session and is accessable in a ajax-request (everything works).

BUT:
When i reload the page with the widget, the ajax calls fail with the following error:

*Fatal error*: ... The script tried to execute a method or access a property of an incomplete object. Please ensure that the class definition ""MyEntity"" of the object you are trying to operate on was loaded _before_ unserialize() gets called or provide a __autoload() function to load the class definition  in ""my widget ajax action controller"" on line 65

I noticed that in Data/Temporary/Development/SubContextMyContext/Cache/Data/Flow_Session_Storage the entity is serialized. After reload the file contains the serialized entity two times. That seemes strange."
45394,TYPO3.Fluid,Task,"",New,Should have,Forwardport Unit test for standalone view,Tymoteusz Motylewski,"",2013-02-11 16:39,View,"",2013-02-11,"","",0,2013-02-11 16:39,"","",1021750,"",No,"","In TYPO3 CMS Fluid there is a StandaloneView unit test, which is missing in Flow Fluid.
see 
http://git.typo3.org/TYPO3v4/CoreProjects/MVC/fluid.git/tree/HEAD:/Tests/Unit/View
 and 
http://git.typo3.org/FLOW3/Packages/TYPO3.Fluid.git/tree/HEAD:/Tests/Unit/View"
45735,TYPO3.Fluid,Bug,"",Resolved,Must have,Error when using If-Condition in Layout-Tag,Alex no-lastname-given,Bastian Waidelich,2015-06-30 05:39,Core,"",2013-02-22,"","",100,2013-02-21 19:06,"","",1038450,"",No,Flow 2.0.0 beta 1,"I use a condition for evaluating which layout to load:
<pre>
<f:layout name=""{f:if(condition: checkCondition, then: 'Layout1', else: 'Layout2')}""/>
</pre>

On the first request (template is not cached) it works fine, but on the second requets (template is loaded from cache) following error is thrown:

<pre>
#1: Notice: Undefined variable: self in /Data/Temporary/Development/Cache/Code/Fluid_TemplateCache/PACKAGE_CONTROLLER_action_ACTION_20bd4ce9d92ee470c3edcf16e49b6ebec6252766.php line 16 
</pre>

This error can be fixed by adding a single line in store() of class TemplateCompiler (TYPO3.Fluid\Classes\TYPO3\Fluid\Core\Compiler\TemplateCompiler.php). The template code ($templateCode) have to be enhanced in the first line of getLayoutName() by
<pre>
\$self = \$this;
</pre>

To clarify, the final template code:
<pre>
$templateCode = <<<EOD
%s {

public function getVariableContainer() {
	// TODO
	return new \TYPO3\Fluid\Core\ViewHelper\TemplateVariableContainer();
}
public function getLayoutName(\TYPO3\Fluid\Core\Rendering\RenderingContextInterface \$renderingContext) {
\$self = \$this;
%s
return %s;
}
public function hasLayout() {
return %s;
}

%s

}
EOD;
</pre>"
45923,TYPO3.Fluid,Feature,"",Rejected,Won't have this time,adjustable number of decimal points for f:format.currency,Josef Florian Glatz,"",2013-09-05 03:34,ViewHelpers,"",2013-02-28,"","",0,2013-02-28 14:33,"","",1047600,"",No,"","From time to time it's useful to have an extra attribute to set the number of decimal points. Because of the fact that especially for large amounts of money (e.g. realty objects, luxury) no decimals are required, this should be configurable."
45987,TYPO3.Fluid,Task,"",Resolved,Should have,filemtime is namespaced in TemplateView.php,Wouter Wolters,Wouter Wolters,2013-04-05 06:37,View,"",2013-03-03,"","",100,2013-03-03 11:26,"","",1050750,"",No,"","filemtime is namespaced in TemplateView.php

$templateModifiedTimestamp = \filemtime($pathAndFilename);"
46038,TYPO3.Fluid,Bug,"",Closed,Should have,Subproperty with Radio fields doesn't render hidden identity property,Christian Müller,Bastian Waidelich,2013-03-26 12:29,ViewHelpers,"",2013-03-05,"","",0,2013-03-05 07:55,"","",1053300,"",No,(any),If you render a form and access a property in a subpobject in your forms bound object via radio input field there are no hidden identity fields rendered as the radio input expects a value to be set in addition to the property which in turn prevents the addAdditionalIdentityPropertiesIfNeeded() to be called ever.
46081,TYPO3.Fluid,Feature,"",Closed,Should have,Suggested addition to SelectViewHelper - allowing prepend of child content to rendered option tag list,Christoph Gross,"",2013-03-07 02:31,ViewHelpers,2.0,2013-03-07,"","",0,2013-03-06 18:59,"","",1055450,"",Yes,"","This Feature is already commited to Typo3v4, see here [[http://forge.typo3.org/issues/26595]].

I think it's a valuable feature and ""adapted"" it to TYPO3.Fluid."
46091,TYPO3.Fluid,Task,"",Needs Feedback,Should have,Show source file name and position on exceptions during parsing,Christopher Hlubek,"",2013-03-07 05:26,"","",2013-03-07,"","",0,2013-03-07 05:14,"","",1055950,"",No,"",It would be really helpful to spot errors if the Fluid TemplateParser would show the current source file and line number on errors. Right now there's absolutely no clue in the exception handler where to look for the error.
46092,TYPO3.Fluid,Bug,"",Resolved,Should have,The f:translate ViewHelper does nothing if a integer is provided as argument,Benno Weinzierl,"",2014-02-24 06:36,ViewHelpers,2.0.1,2013-03-07,"","",0,2013-03-07 05:15,"","",1056000,"",No,Git master,"Here is an Example...

in Translation:
<pre>
<trans-unit id=""mylabel"">
	<source>A test list with {0} results</source>
</trans-unit>
</pre>

In Template:
<pre>
{f:translate(id: 'mylabel', arguments: {0: ""{dynamic.integer}""} )}
</pre>

This returns ""mylabel"" in the template because an integer is provided as argument.
This works:
<pre>
{f:translate(id: 'mylabel', arguments: {0: ""{dynamic.integer} ""} )}
</pre>
(Notice the blank an the end of the dynamic argument... the argument is a string and the translation works as expected)"
46135,TYPO3.Fluid,Bug,"",Closed,Must have,Undefined index: useParentRequest in AbstractViewHelper,Karsten Dambekalns,Karsten Dambekalns,2013-08-02 05:24,ViewHelpers,2.1,2013-03-08,"","",0,2013-03-08 10:05,"","",1058150,"",No,Git master,#1: Notice: Undefined index: useParentRequest in /?/Fluid/Core/ViewHelper/AbstractViewHelper.php line 255
46257,TYPO3.Fluid,Feature,"",Under Review,Should have,Add escape sequence support for Fluid,Rafael Kähm,"",2015-01-26 03:00,Core,"",2013-03-14,"","",0,2013-03-14 04:01,"","",1064050,"",No,"","In some cases you need to print some characters to rendered view, which Fluid uses.
f.e.:
{{object}} should output {value} but Fluid renders this to {{object}}

i have patch for this, which make it possible following possible:
\{{object}\} renders to {value}
\\\{{object}\\\} renders to \{value\}

please make gerrit from following gist:
https://gist.github.com/RafaelKa/5159642

there are 54,55,56 , 119-123 and 455,456 lines interesting "
46289,TYPO3.Fluid,Bug,"",Needs Feedback,Should have,Enable Escaping Interceptor in XML request format,Tim Kandel,"",2013-08-14 09:35,View,2.0.1,2013-03-14,"","",0,2013-03-14 12:20,"","",1065650,"",No,Git master,The Escaping Interceptor should be enabled if the request format is XML. As of now this is only done in HTML.
46545,TYPO3.Fluid,Feature,"",New,Should have,Better support for arrays in options of SelectViewHelper,Marco Falkenberg,"",2013-03-22 08:35,"","",2013-03-22,"","",0,2013-03-22 08:35,"","",1078350,"",No,"","The arguments 'optionValueField' and 'optionLabelField' will be (unnecessary?!) ignored, if you pass an array to the 'options'-argument of a SelectViewHelper."
46872,TYPO3.Fluid,Task,"",Resolved,Should have,Drop incomplete tests,Anja Leichsenring,Bastian Waidelich,2013-08-23 04:58,"","",2013-04-02,"","",100,2013-04-02 15:59,"","",1094250,"",No,"",After some discussion with Sebastian Kurfuerst we decided to drop the incomplete marked tests in both CMS and Flow Fluid.
47006,TYPO3.Fluid,Bug,"",New,Should have,widget identifier are not unique,Christoph Bauer,"",2014-11-25 07:18,"","",2013-04-06,"","",0,2013-04-06 17:58,"","",1100950,"",No,(any),"currently widget identifiers are unique only within the scope of a single plugin, but not the whole called page. 
I tried using multiple instances of the same plugin - all using the paginate widget - on the same page, but since all paginate widgets get the same identifier, this has some unwanted side-effects (switching the shown page of one paginate widget affects all other widgets too etc.)
"
47078,TYPO3.Fluid,Bug,"",Closed,Must have,widget.uri/linkViewHelpers fail with CSRF protection,Adrian Föder,"",2013-04-10 06:07,Widgets,"",2013-04-09,"","",0,2013-04-09 10:43,"","",1104550,"",No,Git master,"the ViewHelper's getAjaxUri() method lacks the addition of a Csrf protection token, which results into an Access Denied exception when calling the linked action.

To me, the question is if the CsrfToken should be added in that case to the Ajax URI; or rather regard that in the \TYPO3\Flow\Security\RequestPattern\CsrfProtection."
47188,TYPO3.Fluid,Bug,"",Resolved,Should have,Fluid tries to render folders as templates partials and layouts,Marc Bastian Heinrichs,Bastian Waidelich,2014-12-16 04:55,View,"",2013-04-13,"","",100,2013-04-13 09:18,"","",1110050,"",No,FLOW3 1.0.0,"The file_exists check in TemplateView is true also for folders. This leads to unrendered partials with resorted paths.

Solution: add additional is_dir check
"
47363,TYPO3.Fluid,Bug,"",Closed,Should have,Error Classes are only set for form fields in object context,Sebastian Michaelsen,"",2015-02-25 04:29,"","",2013-04-18,"","",0,2013-04-18 17:05,"","",1118600,"",No,(any),"Fluid won't set error classes for form fields when they are not in object context (""property"" attribute is not set).
I experienced the issue in v4 and have no FLOW running to verify it, but from looking at the code I'm pretty sure this is not v4 specific.

Here's the workaround I did for my v4 project: https://gist.github.com/smichaelsen/5416046"
47669,TYPO3.Fluid,Task,"",New,Should have,FormViewHelper does not define the default request method,Alexander Berl,"",2013-04-28 10:39,"","",2013-04-28,"","",0,2013-04-28 10:39,"","",1133700,"",No,"","Currently, the default value for the FormViewHelper attribute _""method""_ is *NULL*, resulting in the output form attribute value _""post""_. This could possibly lead to strange behaviour in the code when checking for the method attribute value (*NULL* will actually evaluate to *TRUE* for both checking if _method_ !== 'get' and _method_ !== 'post') and also contradicts the HTML specification for forms, which sets the *default method* to *""get""*:

see http://www.w3.org/TR/html401/interact/forms.html#h-17.3 and http://www.whatwg.org/specs/web-apps/current-work/multipage/association-of-controls-and-forms.html#attr-fs-method

This is a concern especially since the *CSRF* change, which only appends the token on non-GET method and validating the output in the Viewhelpertest package.

I hence suggest setting the *default value* for the method attribute to *'get'* - *or* if a breaking change is to be avoided at least set it do *'post'*."
47674,TYPO3.Fluid,Bug,"",Resolved,Should have,HtmlentitiesViewHelper is scope singleton,Alexander Berl,Alexander Berl,2014-08-26 11:03,ViewHelpers,2.0.1,2013-04-28,"","",100,2013-04-28 14:43,"","",1133950,"",No,Git master,"The HtmlentitiesViewHelper currently is scoped singleton, why all other format ViewHelpers are of scope prototype. This leads to weird behaviour when using the ViewHelper multiple times within one template and a partial. See the related bug for more information."
47968,TYPO3.Fluid,Bug,"",Resolved,Could have,Resource Interceptor should declare objectManager that it is using,Christian Müller,Christian Müller,2013-06-24 05:37,"",2.0,2013-05-06,"","",100,2013-05-06 03:05,"","",1148550,"",No,(any),The Resource Interceptor uses an injected objectManager that it doesn't declare as property.
48121,TYPO3.Fluid,Bug,"",Resolved,Should have,TextareaViewHelper is missing valid html5 argument placeholder ...,Helmut Hummel,"",2013-06-05 06:06,ViewHelpers,2.0,2013-05-12,"","",100,2013-05-12 17:00,"","",1156100,"",Yes,Flow 2.0.0 beta 2,"TextareaViewHelper is missing valid html5 argument placeholder ...

Using 

<pre>
			<f:form.textfield id=""powermail_field_{field.marker}"" placeholder=""{field.title -> vh:string.RawAndRemoveXss()}"" name=""field[{field.uid}]"" value=""{vh:Misc.PrefillField(field: '{field}')}"" class=""powermail_field powermail_input {vh:Misc.ValidationClass(field: '{field}')} {vh:Misc.ErrorClass(field: '{field}', class: 'powermail_field_error')}"" required=""{field.mandatory}"" />

</pre>

with the attribute placeholder causes the exception http://typo3.org/go/exception/v4/1237823695 , what means, that the argument placeholder is not allowed."
48218,TYPO3.Fluid,Feature,"",Resolved,Should have,Make NumberViewHelper regard locale like CurrencyViewHelper does.,Alexander Berl,Alexander Berl,2014-07-11 14:39,ViewHelpers,"",2013-05-15,"","",100,2013-05-15 08:24,"","",1160900,"",No,"","Currently the NumberViewHelper doesn't regard the locale, but the CurrencyViewHelper (and DateViewHelper) does.
Those ViewHelpers should be put in line with each other regarding Locale awareness."
48355,TYPO3.Fluid,Feature,"",New,Could have,Assign output of viewhelper to template variable for further processing.,Dave no-lastname-given,"",2013-07-06 12:05,"","",2013-05-17,"","",0,2013-05-17 11:28,"","",1167600,"","","","It would be nice if it was possible to ""assign"" the output of a viewhelper to a template variable with an assign attribute for usage elsewhere in the template. When assign is set the output of the viewhelper is suppressed.

For example the template:
<pre>

<f:format.date format=""d.m.Y - H:i:s"" assign=""myDate"">\@{your_timestamp}</f:format.date>
<p>Here is my date: {myDate}</p>
<p>Here is again my date: {myDate}</p>

</pre>

Would output:
<pre>

Here is my date: 1.1.2013 - 12:00:00
Here is again my date: 1.1.2013 - 12:00:00

</pre>

I know <f:alias> exists but the kind of assignment I am suggesting would by faster to parse by not having to call the viewhelper multiple times to output the same value.

The ""assign"" should be a universal attribute to all Viewhelpers. 

Then you can do things also like this:
<pre>

<f:for each=""{myCollection}"" as=""collectionItem"" assign=""myList"">
  <f:render partial=""Some/Item""  />
</f:for>

<div class=""top list"">{myList}</div>
<div class=""content"">{myOtherContent}</div>
<div class=""bottom list"">{myList}</div>

</pre>

The advantages I think is clear when applied to looped elements. You don't have to process the same content twice or more.

"
48856,TYPO3.Fluid,Bug,"",Resolved,Should have,Case ViewHelper usage not correct in example,Wouter Wolters,"",2013-06-05 05:36,"","",2013-06-04,"","",100,2013-06-04 16:19,"","",1192600,"",No,Git master,Case ViewHelper usage not correct in example
48870,TYPO3.Fluid,Task,"",Rejected,Won't have this time,`required` attribute not supported in Textarea- and PasswordViewHelpers,Adrian Föder,Adrian Föder,2013-06-05 06:40,ViewHelpers,2.1,2013-06-05,"","",80,2013-06-05 06:18,"","",1193300,"",Yes,"",HTML5's @required@ attribute is not immediately supported in the TextareaViewHelper and PasswordViewHelper (see http://www.w3.org/TR/html-markup/textarea.html#textarea.attrs.required and http://www.w3.org/TR/html-markup/input.password.html#input.password.attrs.required)
48977,TYPO3.Fluid,Bug,"",Closed,Must have,f:link.action ignores controller with backslashes,Simon Schaufelberger,Bastian Waidelich,2013-06-10 09:41,ViewHelpers,"",2013-06-10,"","",0,2013-06-09 20:06,"","",1198500,"",No,(any),"I have a neos backend module and want to link to another controller. The controller is not straight under the controller folder but under Controller/Module/MyModule/.

I tried linking to MyController like that:

<pre>
<f:link.action action=""index"" controller=""Module\Module\MyController"" class=""btn neos-button"">
</pre>

but it just doesnt work.

I found an existing ""example"" for this:

<pre>
<f:link.action package=""TYPO3.Neos"" controller=""Backend\Backend"" action=""index"">Content</f:link.action>
</pre>

under \Packages\Application\TYPO3.Neos\Resources\Private\Templates\Backend\Content\Container.html

but that is also not working.

I don't know if this has ever worked or not so i don't know if its possible to trace it back to a working state."
49038,TYPO3.Fluid,Bug,"",New,Must have,form.select does not select the first item if prependOptionValue is used,Axel Brand,"",2013-06-11 16:11,"","",2013-06-11,"","",0,2013-06-11 16:11,"","",1201550,"",No,FLOW3 1.1.0,"I habe a strange behaviour.

I use the f:form.select viewhelper like this:
<pre><f:form.select property=""myadata"" options=""{mydatas}"" optionLabelField=""name"" optionValueField=""uid"" sortByOptionLabel=""TRUE"" prependOptionLabel="""" /></pre>
Here the action:

# select first item
# save object => everything is fine
# edit object
# first item is NOT selected

If i try this with the second one or if i delete the _prependOptionLabel_ attribute, everything is running fine.

I hacked the view-helper-class @SelectViewHelper.php@ like this:

<pre>
protected function isSelected($value) {
 		$this->getSelectedValue();
		$selectedValue = $this->getSelectedValue();
		if ($value === $selectedValue || (string) $value === $selectedValue) {
			return TRUE;
		}
		if ($this->hasArgument('multiple')) {
			if (is_null($selectedValue) && $this->arguments['selectAllByDefault'] === TRUE) {
				return TRUE;
			} elseif (is_array($selectedValue) && in_array($value, $selectedValue)) {
				return TRUE;
			}
		}
		return FALSE;
	}
</pre>

The line 
<pre>$this->getSelectedValue();</pre>
is the trick.

"
49128,TYPO3.Fluid,Feature,"",Resolved,Should have,ViewHelper to display file sizes,Bastian Waidelich,Bastian Waidelich,2013-06-14 09:35,ViewHelpers,"",2013-06-14,"","",100,2013-06-14 07:37,"","",1206050,"",No,"",A ViewHelper that converts the size of a file to a human readable string
49143,TYPO3.Fluid,Bug,"",Resolved,Must have,Petabytes missing in VH f:format.bytes(),Stefan Neufeind,Stefan Neufeind,2013-06-21 09:36,ViewHelpers,"",2013-06-15,"","",100,2013-06-14 19:43,"","",1206800,"",No,Git master,"Peta (PB) is missing newly merged feature.

1000 	k 	kilo
1000^2 	M 	mega
1000^3 	G 	giga
1000^4 	T 	tera
1000^5 	P 	peta
1000^6 	E 	exa
1000^7 	Z 	zetta
1000^8 	Y 	yotta

(thanks go to Philipp Gampe for discovering this)"
49305,TYPO3.Fluid,Feature,"",Closed,Should have,Support for Data Attributes in tag-based ViewHelpers ,Marco Falkenberg,Bastian Waidelich,2013-06-21 05:27,ViewHelpers,"",2013-06-21,"","",0,2013-06-21 05:21,"","",1214850,"",No,"","Adding Data Attributes to tag-based ViewHelpers via ""additionalAttributes"" is an exhausting task, because of the escaping and nesting stuff and so on.

<pre>
<f:link action=""doSomething"" data-role-tooltip=""{f:translate(id:'doSomething')}"">Do something!</f:link>
</pre>

vs.

<pre>
<f:link action=""doSomething"" additionlAttributes=""{data-role-tooltip: '{f:translate(id:\'doSomething\')}'}"">Do something!</f:link>
</pre>"
49344,TYPO3.Fluid,Feature,"",Closed,Should have, Allow template paths to use overlays,Anja Leichsenring,Bastian Waidelich,2013-10-14 04:30,View,"",2013-06-22,"","",0,2013-06-22 14:21,"","",1216800,"",No,"","CMS Fluid is about to merge this feature from ext:view, could come in handy for Flow Fluid as well?

Find the patch at https://review.typo3.org/#/c/21580"
49600,TYPO3.Fluid,Bug,"",New,Should have,f:form tag shown as a HTML on frontend,Jignesh Prajapati,"",2013-12-04 07:04,ViewHelpers,"",2013-07-02,"","",0,2013-07-02 11:09,"","",1229500,"",No,(any),"Hello guys,

I have one problem using the f:form tag
I integrated the template using the FLUIDTEMPLATE in Typo3 version 6.1
Now i created one extension that simply show the the form with two input elements. I used the f:form and f:form.textfield to display the form. Now problem is that whole form shown as HTML tags instead of real form. Please see the attached screenshot.

However, when i used the same extension using the templavoila in Typo3 version 6.1 then everything is working fine.

I am using below typoscript for FLUIDTEMPLATE integration.

# Create a Fluid Template
page.10 = FLUIDTEMPLATE
page.10.template = FILE
page.10.template.file = fileadmin/templates/index.html
[globalVar=TSFE:page|layout=1] 
page.10.template.file = fileadmin/templates/home-products.html
[global]
[globalVar=TSFE:page|layout=2] 
page.10.template.file = fileadmin/templates/products.html
[global]
[globalVar=TSFE:page|layout=3] 
page.10.template.file = fileadmin/templates/product-details.html
[global]
[globalVar=TSFE:page|layout=4] 
page.10.template.file = fileadmin/templates/products-img.html
[global]
[globalVar=TSFE:page|layout=5] 
page.10.template.file = fileadmin/templates/settings.html
[global]

page.10 {
  # Set the Template Pathes
  partialRootPath = fileadmin/templates/partials/
  layoutRootPath = fileadmin/templates/layouts/
  variables {
     # Assign the main column with our {content}-destination
    content_main < styles.content.get
    # Assign the left column with our {content_left}-destination
    content_left < styles.content.get
    content_left.select.where = colPos = 1
    # Assign the right column with our {content_right}-destination
    content_right < styles.content.get
    content_right.select.where = colPos = 2
    left < styles.content.get
    left.select.where = colPos=1
  }
}



Not getting what happens with FLUIDTEMPLATE. Please help me as it is very urgent for me. Any help will be appriciated.



Thanks,
Jignesh"
49726,TYPO3.Fluid,Feature,"",Resolved,Should have,f:form autofocus attribute is missing in f:form.textfield and f:form.textarea,Tim Spiekerkötter,"",2014-07-11 14:39,"","",2013-07-06,"","",100,2013-07-06 07:11,"","",1235700,"",No,"","As in f:form.button there should be an attribute ""autofocus"" as well for f:form.textfield and f:form.textarea to be consistent in autofocus behaviour.

This is a copy from the issue #48689 from TYPO3 CMS."
49756,TYPO3.Fluid,Feature,"",Under Review,Should have,Select values by array key in checkbox viewhelper,Simon Schaufelberger,"",2014-03-24 21:40,"","",2013-07-07,"","",0,2013-07-06 19:52,"","",1237200,"",No,"","my model:

<pre>
class Model {
	protected $groups;

	public function getGroups() {
		$groups = array();
		foreach ($this->groups as $group) {
			$groups[\TYPO3\Flow\Reflection\ObjectAccess::getProperty($group, 'Persistence_Object_Identifier', TRUE)] = $group;
		}
		return $groups;
	}
}
</pre>

my controller:

<pre>
public function viewAction(\My\Package\Domain\Model\Member $member) {
	$groups = $this->groupRepository->findAll();
	$this->view->assign('member', $member);
	$this->view->assign('groupList', $groups);
}
</pre>

my view:

<pre>
<f:form action=""editGroups"" name=""member"" object=""{member}"">
	<f:for each=""{groupList}"" as=""groupItem"">
		<label class=""checkbox inline"">
			<f:form.checkbox property=""groups"" value=""{groupItem -> f:format.identifier()}""/> {groupItem.name}
		</label>
	</f:for>
</f:form>
</pre>

now what's not possible is to just assign the groups (a m:n-relation) to the checkbox because in the checkbox viewhelper the *value* is compared instead of the *array key* with in_array.

This patch also compares the array keys."
50555,TYPO3.Fluid,Bug,"",Closed,Should have,Can't get an empty array in if condition,Thomas Christiansen,Bastian Waidelich,2013-07-31 09:21,"","",2013-07-30,"","",0,2013-07-30 06:32,"","",1276300,"",No,(any),"Hi all,
i am having trouble to get an empty array in a shorthand if condition.

The situation is the following:
I have an Input field which can be required or optional, depending on a checkbox in Backend.

In my Template i tried this;

@additionalAttributes=""{f:if(condition: '{field.mandatory}', then: '{required: 1}', else: '{}')}""@

The ""then""-case works fine, i am getting the attribute required=""1"" as expected.

The problem is, that the '{}' in the else-case returns an empty string, not an empty array. Then i get an exception, because additionalAttributes expects an array.
I tried a couple of things to get this to work like {0: null}, {\'\'} or {null} but i always get either an empty string or an non-empty array like array(0 => null).
The last one is not an option because it would result in an attribute ""0"" in the html tag.

Me and my colleagues came up with a view workarrounds:

1) Assign an empty array to a variable in the controller and use this variable in the template.
 - This is in my case not an option because i am extending an TER extension and dont want to override its controller.

2) Add an ""Empty-Array-Getter"" to the Model like getEmptyArray which returns an empty array.
 - This is a possibility, because i am extending the model as well, but... urghs ;)

3) Write a viewhelper that adds an empty array to the templateVariableContainer.
 - This is probably the best workaround and i am using this for now.

The viewhelper looks simply like this:

@class EmptyArrayViewHelper extends \TYPO3\CMS\Fluid\Core\ViewHelper\AbstractViewHelper {
  public function render() {
    $this->templateVariableContainer->add('emptyArray', array());
    return NULL;
  }
}@

So i use can {emptyArray} in my template now after calling the viewhelper:
@<fx:EmptyArray />
...
additionalAttributes=""{f:if(condition: '{field.mandatory}', then: '{required: 1}', else: '{emptyArray}')}""@

Did we miss anything here or is there no other way to solve this scenario?

Thanks and regards,
Thomas"
